time,open,high,low,close,tick_volume,spread,real_volume
2025.04.15 03:15,131.41,131.45,131.41,131.41,42,0,0
2025.04.15 03:30,131.41,131.44,131.39,131.4,32,0,0
2025.04.15 03:45,131.4,131.41,131.4,131.41,30,0,0
2025.04.15 04:00,131.42,131.45,131.42,131.45,48,0,0
2025.04.15 04:15,131.46,131.51,131.45,131.49,49,0,0
2025.04.15 04:30,131.49,131.5,131.46,131.5,31,0,0
2025.04.15 04:45,131.49,131.5,131.46,131.48,40,0,0
2025.04.15 05:00,131.48,131.54,131.48,131.52,44,0,0
2025.04.15 05:15,131.51,131.53,131.49,131.5,47,0,0
2025.04.15 05:30,131.49,131.52,131.48,131.49,34,0,0
2025.04.15 05:45,131.49,131.51,131.47,131.49,44,0,0
2025.04.15 06:00,131.5,131.51,131.44,131.5,66,0,0
2025.04.15 06:15,131.49,131.49,131.43,131.45,47,0,0
2025.04.15 06:30,131.44,131.49,131.43,131.47,82,0,0
2025.04.15 06:45,131.47,131.47,131.45,131.46,48,0,0
2025.04.15 07:00,131.45,131.48,131.43,131.47,47,0,0
2025.04.15 07:15,131.48,131.51,131.46,131.51,72,0,0
2025.04.15 07:30,131.52,131.52,131.43,131.44,48,0,0
2025.04.15 07:45,131.44,131.44,131.36,131.38,86,0,0
2025.04.15 08:00,131.38,131.42,131.34,131.34,147,0,0
2025.04.15 08:15,131.33,131.37,131.26,131.31,158,0,0
2025.04.15 08:30,131.3,131.32,131.23,131.28,150,0,0
2025.04.15 08:45,131.27,131.29,131.22,131.25,136,0,0
2025.04.15 09:00,131.26,131.28,131.21,131.23,152,0,0
2025.04.15 09:15,131.24,131.24,131.16,131.18,149,0,0
2025.04.15 09:30,131.17,131.24,131.16,131.22,99,0,0
2025.04.15 09:45,131.21,131.24,131.18,131.21,88,0,0
2025.04.15 10:00,131.2,131.35,131.2,131.26,176,0,0
2025.04.15 10:15,131.25,131.34,131.25,131.31,97,0,0
2025.04.15 10:30,131.3,131.34,131.25,131.26,114,0,0
2025.04.15 10:45,131.29,131.32,131.25,131.25,94,0,0
2025.04.15 11:00,131.27,131.33,131.24,131.25,150,0,0
2025.04.15 11:15,131.25,131.27,131.18,131.18,88,0,0
2025.04.15 11:30,131.19,131.22,131.0,131.0,155,0,0
2025.04.15 11:45,131.0,131.01,130.86,130.86,152,0,0
2025.04.15 12:00,130.87,130.91,130.84,130.9,152,0,0
2025.04.15 12:15,130.9,130.93,130.9,130.9,84,0,0
2025.04.15 12:30,130.91,130.91,130.79,130.81,86,0,0
2025.04.15 12:45,130.78,130.82,130.75,130.81,63,0,0
2025.04.15 13:00,130.8,130.85,130.76,130.84,81,0,0
2025.04.15 13:15,130.85,130.9,130.79,130.8,103,0,0
2025.04.15 13:30,130.81,130.86,130.8,130.85,86,0,0
2025.04.15 13:45,130.85,130.95,130.85,130.94,75,0,0
2025.04.15 14:00,130.93,130.96,130.9,130.91,120,0,0
2025.04.15 14:15,130.91,131.0,130.91,130.97,142,0,0
2025.04.15 14:30,130.97,131.02,130.93,130.94,219,0,0
2025.04.15 14:45,130.95,130.96,130.79,130.79,157,0,0
2025.04.15 15:00,130.78,130.83,130.74,130.82,139,0,0
2025.04.15 15:15,130.82,130.91,130.82,130.89,129,0,0
2025.04.15 15:30,130.88,131.0,130.87,130.92,252,0,0
2025.04.15 15:45,130.91,130.99,130.87,130.87,151,0,0
2025.04.15 16:00,130.88,130.89,130.74,130.74,121,0,0
2025.04.15 16:15,130.74,131.0,130.74,130.92,275,0,0
2025.04.15 16:30,130.91,130.94,130.85,130.87,166,0,0
2025.04.15 16:45,130.86,130.95,130.81,130.82,194,0,0
2025.04.15 17:00,130.82,130.88,130.81,130.85,131,0,0
2025.04.15 17:15,130.84,130.85,130.76,130.8,110,0,0
2025.04.15 17:30,130.8,130.93,130.8,130.93,96,0,0
2025.04.15 17:45,130.92,130.95,130.88,130.93,89,0,0
2025.04.15 18:00,130.93,130.94,130.9,130.91,81,0,0
2025.04.15 18:15,130.91,130.98,130.9,130.96,54,0,0
2025.04.15 18:30,130.94,130.96,130.93,130.96,65,0,0
2025.04.15 18:45,130.95,130.98,130.94,130.96,60,0,0
2025.04.15 19:00,130.97,130.97,130.91,130.93,56,0,0
2025.04.15 19:15,130.94,130.97,130.92,130.95,72,0,0
2025.04.15 19:30,130.94,130.95,130.91,130.94,74,0,0
2025.04.15 19:45,130.94,130.95,130.91,130.91,87,0,0
2025.04.15 20:00,130.92,130.94,130.91,130.93,47,0,0
2025.04.15 20:15,130.93,130.96,130.92,130.95,70,0,0
2025.04.15 20:30,130.95,130.97,130.94,130.94,28,0,0
2025.04.15 20:45,130.95,130.97,130.94,130.95,35,0,0
2025.04.15 21:00,130.96,130.96,130.88,130.89,33,0,0
2025.04.15 21:15,130.88,130.9,130.87,130.89,33,0,0
2025.04.15 21:30,130.88,130.93,130.88,130.93,23,0,0
2025.04.15 21:45,130.93,130.96,130.9,130.95,55,0,0
