time,open,high,low,close,tick_volume,spread,real_volume
2025.04.22 12:59,365.17,365.17,365.17,365.17,1,0,0
2025.04.22 13:00,365.27,365.62,365.27,365.62,8,0,0
2025.04.22 13:01,365.62,365.62,365.62,365.62,4,0,0
2025.04.22 13:02,365.27,365.32,365.17,365.27,6,0,0
2025.04.22 13:03,365.32,365.32,365.27,365.27,2,0,0
2025.04.22 13:04,365.22,365.27,365.17,365.22,6,0,0
2025.04.22 13:05,365.22,365.35,365.22,365.35,3,0,0
2025.04.22 13:06,365.37,365.37,365.22,365.32,5,0,0
2025.04.22 13:07,365.35,365.42,365.22,365.42,9,0,0
2025.04.22 13:08,365.37,365.37,365.22,365.22,3,0,0
2025.04.22 13:09,365.17,365.17,365.17,365.17,2,0,0
2025.04.22 13:10,364.92,365.17,364.92,365.17,2,0,0
2025.04.22 13:11,365.2,365.22,365.07,365.17,7,0,0
2025.04.22 13:12,365.17,365.82,365.17,365.32,15,0,0
2025.04.22 13:13,365.42,365.52,364.47,364.82,23,0,0
2025.04.22 13:14,364.85,364.87,364.62,364.62,8,0,0
2025.04.22 13:15,364.67,364.67,364.47,364.47,6,0,0
2025.04.22 13:16,364.57,364.57,364.37,364.37,14,0,0
2025.04.22 13:17,364.32,364.72,363.97,364.72,23,0,0
2025.04.22 13:18,364.92,364.97,364.02,364.22,9,0,0
2025.04.22 13:19,364.25,364.25,363.97,363.97,8,0,0
2025.04.22 13:20,363.97,363.97,363.47,363.62,21,0,0
2025.04.22 13:21,363.7,363.72,363.52,363.52,9,0,0
2025.04.22 13:22,363.57,363.57,363.17,363.47,14,0,0
2025.04.22 13:23,363.47,363.62,363.27,363.52,18,0,0
2025.04.22 13:24,363.62,363.77,363.62,363.67,14,0,0
2025.04.22 13:25,363.47,363.62,363.27,363.37,10,0,0
2025.04.22 13:26,363.37,363.42,363.37,363.42,2,0,0
2025.04.22 13:27,363.47,363.47,363.3,363.3,8,0,0
2025.04.22 13:28,363.27,363.87,363.2,363.77,26,0,0
2025.04.22 13:29,363.3,363.5,363.3,363.37,10,0,0
2025.04.22 13:30,363.42,363.7,363.42,363.67,8,0,0
2025.04.22 13:31,363.65,363.72,363.62,363.72,7,0,0
2025.04.22 13:32,363.67,363.67,363.42,363.5,7,0,0
2025.04.22 13:33,363.42,363.65,363.32,363.35,6,0,0
2025.04.22 13:34,363.4,363.5,362.57,362.75,21,0,0
2025.04.22 13:35,362.7,363.02,362.7,362.87,13,0,0
2025.04.22 13:36,362.9,363.07,362.9,363.07,2,0,0
2025.04.22 13:37,363.0,363.02,363.0,363.0,3,0,0
2025.04.22 13:38,362.92,362.92,362.57,362.77,28,0,0
2025.04.22 13:39,362.82,362.97,362.8,362.92,7,0,0
2025.04.22 13:40,363.0,363.22,363.0,363.22,5,0,0
2025.04.22 13:41,363.27,363.47,363.27,363.47,9,0,0
2025.04.22 13:42,363.5,363.5,363.25,363.35,17,0,0
2025.04.22 13:43,363.32,363.4,363.32,363.37,4,0,0
2025.04.22 13:44,363.4,363.4,363.22,363.22,3,0,0
2025.04.22 13:45,363.25,363.52,363.25,363.45,7,0,0
2025.04.22 13:46,363.47,363.57,363.32,363.55,8,0,0
2025.04.22 13:47,363.32,363.47,363.25,363.25,5,0,0
2025.04.22 13:48,363.3,363.3,363.27,363.27,2,0,0
2025.04.22 13:50,363.3,363.57,363.3,363.57,19,0,0
2025.04.22 13:51,363.5,363.8,363.42,363.72,16,0,0
2025.04.22 13:52,363.65,363.87,363.65,363.87,5,0,0
2025.04.22 13:53,363.9,363.92,363.6,363.62,8,0,0
2025.04.22 13:54,363.65,363.8,363.65,363.72,5,0,0
2025.04.22 13:55,363.67,363.7,363.67,363.7,2,0,0
2025.04.22 13:56,363.67,363.67,363.55,363.55,4,0,0
2025.04.22 13:57,363.57,363.57,363.57,363.57,1,0,0
2025.04.22 13:58,363.52,363.52,363.22,363.22,8,0,0
2025.04.22 13:59,363.32,363.32,363.02,363.17,7,0,0
2025.04.22 14:00,363.22,364.05,363.22,363.57,25,0,0
2025.04.22 14:01,363.6,364.2,363.57,364.2,21,0,0
2025.04.22 14:02,364.25,364.27,363.77,363.97,11,0,0
2025.04.22 14:03,363.95,364.22,363.87,364.17,19,0,0
2025.04.22 14:04,364.2,364.2,363.65,363.87,13,0,0
2025.04.22 14:05,364.47,365.25,364.47,365.2,20,0,0
2025.04.22 14:06,365.12,365.15,364.97,365.0,14,0,0
2025.04.22 14:07,365.12,365.2,365.02,365.05,9,0,0
2025.04.22 14:08,364.97,365.0,364.75,364.75,4,0,0
2025.04.22 14:09,364.82,365.07,364.82,365.07,8,0,0
2025.04.22 14:10,365.05,365.05,364.57,364.95,15,0,0
2025.04.22 14:11,365.0,365.0,364.57,364.6,8,0,0
2025.04.22 14:12,364.67,364.67,364.37,364.37,3,0,0
2025.04.22 14:13,364.45,365.27,364.45,365.27,14,0,0
2025.04.22 14:14,365.35,365.35,364.77,365.1,18,0,0
2025.04.22 14:15,365.12,366.15,365.12,366.0,29,0,0
2025.04.22 14:16,365.97,366.25,365.97,366.25,12,0,0
