time,open,high,low,close,tick_volume,spread,real_volume
2023.09.29 14:05,486.58,489.36,478.31,478.57,1333,0,0
2023.09.29 19:35,478.37,478.6,477.06,477.33,122,0,0
2023.10.02 02:05,476.59,478.79,475.78,478.54,171,0,0
2023.10.02 06:05,478.58,481.08,478.3,479.57,135,0,0
2023.10.02 10:05,479.35,480.57,477.81,479.36,310,0,0
2023.10.02 14:05,479.07,489.12,478.82,488.87,1041,0,0
2023.10.02 19:35,489.08,489.08,487.81,487.87,42,0,0
2023.10.03 02:05,487.59,487.59,485.28,485.53,130,0,0
2023.10.03 06:05,485.83,486.62,484.57,486.35,126,0,0
2023.10.03 10:05,486.06,487.62,485.57,487.08,201,0,0
2023.10.03 14:05,487.11,488.83,484.08,486.82,712,0,0
2023.10.03 19:35,486.87,487.12,486.31,486.6,49,0,0
2023.10.04 02:05,487.05,488.84,487.05,487.8,145,0,0
2023.10.04 06:05,487.78,489.37,487.78,488.82,110,0,0
2023.10.04 10:05,488.56,489.37,485.32,485.82,345,0,0
2023.10.04 14:05,485.61,487.86,482.06,486.31,670,0,0
2023.10.04 19:35,485.81,486.62,485.81,486.06,57,0,0
2023.10.05 02:05,485.08,486.05,483.84,485.84,48,0,0
2023.10.05 06:05,485.79,485.87,484.31,484.57,72,0,0
2023.10.05 10:05,484.6,485.12,482.31,482.85,150,0,0
2023.10.05 14:05,483.07,498.07,483.07,497.57,779,0,0
2023.10.05 19:35,497.85,498.11,496.56,496.85,63,0,0
2023.10.06 02:05,496.3,498.3,496.28,497.08,122,0,0
2023.10.06 06:05,497.3,498.37,496.11,497.31,167,0,0
2023.10.06 10:05,497.6,497.86,496.37,497.36,171,0,0
2023.10.06 14:05,497.12,497.12,492.06,492.37,651,0,0
2023.10.06 19:35,492.31,492.83,491.57,491.57,15,0,0
2023.10.09 02:05,492.8,495.59,492.29,494.32,260,0,0
2023.10.09 06:05,494.29,495.37,493.78,494.07,121,0,0
2023.10.09 10:05,493.86,496.62,493.81,494.06,285,0,0
2023.10.09 14:05,494.07,495.33,487.06,490.33,535,0,0
2023.10.09 19:35,490.36,490.6,489.62,489.62,18,0,0
2023.10.10 02:05,486.84,487.32,486.04,486.33,69,0,0
2023.10.10 06:05,486.34,486.59,484.32,484.87,71,0,0
2023.10.10 10:05,485.11,486.37,484.31,486.31,138,0,0
2023.10.10 14:05,486.12,487.31,483.83,485.1,454,0,0
2023.10.10 19:35,485.33,485.57,484.81,485.07,25,0,0
2023.10.11 02:05,484.79,486.32,484.53,485.28,66,0,0
2023.10.11 06:05,485.08,486.86,485.08,485.36,71,0,0
2023.10.11 10:05,485.37,486.83,484.31,484.35,146,0,0
2023.10.11 14:05,484.35,487.87,483.31,487.58,405,0,0
2023.10.11 19:35,487.82,488.11,487.56,487.87,30,0,0
2023.10.12 02:05,487.03,487.59,486.79,487.33,63,0,0
