time,open,high,low,close,tick_volume,spread,real_volume
2017.04.03 00:00,77.58,77.97,75.36,75.39,2962,0,0
2017.04.04 00:00,75.33,75.63,74.48,74.74,2547,0,0
2017.04.05 00:00,74.76,75.11,74.67,74.77,2019,0,0
2017.04.06 00:00,74.75,74.97,74.4,74.47,1302,0,0
2017.04.07 00:00,76.17,76.2,75.33,75.42,1260,0,0
2017.04.10 00:00,75.51,76.86,75.51,76.85,2225,0,0
2017.04.11 00:00,76.68,77.17,76.1,76.28,3126,0,0
2017.04.12 00:00,76.14,76.69,75.98,76.08,1636,0,0
2017.04.13 00:00,76.57,76.66,76.02,76.52,1740,0,0
2017.04.17 00:00,76.66,78.23,76.66,78.21,1642,0,0
2017.04.18 00:00,78.16,78.28,77.39,78.21,2296,0,0
2017.04.19 00:00,78.04,78.88,77.58,78.3,2333,0,0
2017.04.20 00:00,78.33,79.29,78.31,79.08,2229,0,0
2017.04.21 00:00,79.19,79.29,78.59,79.23,2263,0,0
2017.04.24 00:00,79.36,79.54,77.7,78.71,3170,0,0
2017.04.25 00:00,78.4,79.32,77.89,79.25,2786,0,0
2017.04.26 00:00,79.36,79.65,78.64,79.06,2963,0,0
2017.04.27 00:00,79.08,79.26,77.77,77.83,2574,0,0
2017.04.28 00:00,77.79,78.88,77.57,78.71,2798,0,0
2017.05.01 00:00,78.54,79.11,78.43,78.84,2294,0,0
2017.05.02 00:00,78.85,79.34,78.28,79.15,2205,0,0
2017.05.03 00:00,79.3,79.34,78.54,78.71,2012,0,0
2017.05.04 00:00,78.73,79.24,78.6,78.83,1803,0,0
2017.05.05 00:00,78.62,78.63,77.63,77.72,2130,0,0
2017.05.08 00:00,77.44,77.58,76.97,77.14,1907,0,0
2017.05.09 00:00,77.37,77.73,77.12,77.43,2176,0,0
2017.05.10 00:00,77.28,77.38,76.28,76.3,2603,0,0
2017.05.11 00:00,76.34,79.12,76.09,79.1,3898,0,0
2017.05.12 00:00,79.62,82.09,79.6,82.09,2211,0,0
2017.05.15 00:00,83.99,87.09,82.48,85.48,9644,0,0
2017.05.16 00:00,84.65,84.68,81.23,81.35,5961,0,0
2017.05.17 00:00,82.04,82.93,79.55,80.21,4673,0,0
2017.05.18 00:00,80.47,80.47,78.76,79.15,3369,0,0
2017.05.19 00:00,79.25,79.41,78.34,79.39,2841,0,0
2017.05.22 00:00,78.81,79.12,78.22,78.32,2716,0,0
2017.05.23 00:00,78.08,78.15,77.02,77.09,2962,0,0
2017.05.24 00:00,77.62,78.63,77.22,77.36,3272,0,0
2017.05.25 00:00,77.41,78.03,77.02,77.11,2960,0,0
2017.05.26 00:00,77.19,77.49,76.93,77.06,1861,0,0
2017.05.30 00:00,77.17,77.57,76.83,77.24,2459,0,0
2017.05.31 00:00,77.13,77.22,76.63,76.84,1701,0,0
2017.06.01 00:00,76.79,77.72,76.73,77.48,2512,0,0
2017.06.02 00:00,77.44,77.48,76.49,76.58,1879,0,0
2017.06.05 00:00,76.52,76.63,76.19,76.3,1467,0,0
2017.06.06 00:00,76.31,76.56,75.83,75.96,1430,0,0
2017.06.07 00:00,76.08,76.13,75.57,75.75,1038,0,0
2017.06.08 00:00,76.05,76.65,75.53,76.28,2418,0,0
2017.06.09 00:00,72.98,73.11,72.19,72.45,1962,0,0
2017.06.12 00:00,72.39,72.54,72.24,72.3,1283,0,0
2017.06.13 00:00,72.18,72.21,71.67,71.72,1439,0,0
2017.06.14 00:00,71.66,71.89,70.79,70.87,1657,0,0
2017.06.15 00:00,70.72,70.73,68.95,69.47,2872,0,0
2017.06.16 00:00,69.63,69.74,68.5,69.37,2444,0,0
2017.06.19 00:00,69.9,69.99,68.59,68.84,2045,0,0
2017.06.20 00:00,68.87,69.08,68.43,68.8,2116,0,0
2017.06.21 00:00,68.85,69.55,68.05,68.11,2117,0,0
2017.06.22 00:00,67.74,67.78,66.64,66.65,2959,0,0
2017.06.23 00:00,67.05,67.24,66.25,67.2,2958,0,0
2017.06.26 00:00,67.43,67.5,66.07,67.4,2349,0,0
2017.06.27 00:00,67.31,68.02,67.03,67.47,2295,0,0
2017.06.28 00:00,67.36,67.77,66.77,67.55,2014,0,0
2017.06.29 00:00,67.35,67.66,66.95,67.1,2314,0,0
2017.06.30 00:00,67.24,68.59,66.78,68.57,2717,0,0
2017.07.03 00:00,68.33,68.54,67.13,67.65,3284,0,0
2017.07.05 00:00,67.49,67.6,66.47,67.5,2567,0,0
2017.07.06 00:00,67.4,68.35,67.13,68.1,2773,0,0
2017.07.07 00:00,68.11,68.82,67.87,68.35,2594,0,0
2017.07.10 00:00,68.53,68.62,67.14,67.15,2195,0,0
2017.07.11 00:00,66.98,67.7,66.64,67.5,2220,0,0
2017.07.12 00:00,67.44,67.85,66.88,67.04,2632,0,0
2017.07.13 00:00,67.32,67.48,66.22,66.3,2129,0,0
2017.07.14 00:00,66.53,66.78,66.2,66.42,1701,0,0
2017.07.17 00:00,66.63,68.03,66.52,67.64,2628,0,0
2017.07.18 00:00,67.98,68.32,66.7,68.07,2808,0,0
2017.07.19 00:00,68.14,68.38,67.66,68.02,1755,0,0
2017.07.20 00:00,68.31,69.15,68.23,68.9,2483,0,0
2017.07.21 00:00,68.16,68.69,67.43,68.24,2619,0,0
2017.07.24 00:00,68.03,68.55,67.76,68.19,2185,0,0
2017.07.25 00:00,68.45,68.87,68.42,68.76,1997,0,0
2017.07.26 00:00,68.18,68.59,67.69,68.32,2377,0,0
2017.07.27 00:00,68.59,69.6,67.94,68.7,2567,0,0
2017.07.28 00:00,68.62,69.15,68.22,68.73,2192,0,0
2017.07.31 00:00,68.42,69.6,68.42,68.76,2707,0,0
2017.08.01 00:00,69.08,69.28,68.18,69.26,2542,0,0
2017.08.02 00:00,69.29,70.3,69.13,70.2,2456,0,0
2017.08.03 00:00,70.4,70.49,69.86,70.05,2722,0,0
2017.08.04 00:00,70.27,70.73,70.14,70.54,1945,0,0
2017.08.07 00:00,70.8,70.85,70.36,70.42,1511,0,0
2017.08.08 00:00,70.82,71.1,70.51,71.09,2528,0,0
2017.08.09 00:00,70.56,71.09,70.5,71.08,2260,0,0
2017.08.10 00:00,70.97,71.07,68.02,68.32,4374,0,0
2017.08.11 00:00,68.11,69.05,67.67,68.09,2642,0,0
2017.08.14 00:00,68.34,68.36,67.49,67.64,1574,0,0
2017.08.15 00:00,67.66,67.66,67.0,67.14,1509,0,0
2017.08.16 00:00,67.21,67.3,66.68,66.77,1265,0,0
2017.08.17 00:00,66.88,67.0,66.56,66.76,1412,0,0
2017.08.18 00:00,66.89,67.41,66.6,67.11,1871,0,0
2017.08.21 00:00,67.26,67.71,67.12,67.34,1603,0,0
2017.08.22 00:00,67.64,67.85,67.54,67.83,1423,0,0
2017.08.23 00:00,68.2,69.38,67.99,68.82,2408,0,0
2017.08.24 00:00,68.81,69.79,68.47,69.72,1776,0,0
2017.08.25 00:00,69.71,69.71,67.48,68.01,3368,0,0
2017.08.28 00:00,69.13,69.86,68.65,69.73,2069,0,0
2017.08.29 00:00,69.72,70.37,69.27,69.86,2330,0,0
2017.08.30 00:00,69.83,70.85,69.74,70.75,1948,0,0
2017.08.31 00:00,70.5,70.98,70.19,70.89,1928,0,0
2017.09.01 00:00,70.54,71.86,70.47,71.66,2236,0,0
2017.09.05 00:00,72.41,74.8,72.28,74.79,3331,0,0
2017.09.06 00:00,74.92,75.55,73.96,74.48,4233,0,0
2017.09.07 00:00,73.89,74.3,73.3,74.2,3013,0,0
2017.09.08 00:00,74.17,75.66,73.98,74.53,3977,0,0
2017.09.11 00:00,73.82,73.82,71.51,72.15,4036,0,0
2017.09.12 00:00,71.65,71.65,69.01,69.02,2581,0,0
2017.09.13 00:00,68.98,69.35,68.23,69.19,3876,0,0
2017.09.14 00:00,69.28,69.32,68.35,69.07,2394,0,0
2017.09.15 00:00,68.63,69.1,68.55,68.85,2055,0,0
2017.09.18 00:00,69.0,69.85,68.86,69.3,2604,0,0
2017.09.19 00:00,69.44,69.77,68.74,69.27,2453,0,0
2017.09.20 00:00,69.36,69.64,68.97,69.19,2349,0,0
2017.09.21 00:00,69.07,69.4,68.1,68.11,2142,0,0
2017.09.22 00:00,68.3,68.67,67.78,68.45,1846,0,0
2017.09.25 00:00,68.58,69.45,68.25,69.4,1901,0,0
2017.09.26 00:00,69.16,69.3,68.42,68.75,2188,0,0
2017.09.27 00:00,68.49,69.0,68.1,68.62,2294,0,0
2017.09.28 00:00,68.33,69.2,68.18,68.89,2061,0,0
2017.09.29 00:00,68.81,69.11,68.21,68.34,1907,0,0
2017.10.02 00:00,68.6,68.61,67.47,67.48,1653,0,0
2017.10.03 00:00,67.55,68.47,67.32,67.4,2374,0,0
2017.10.04 00:00,67.82,69.88,67.59,68.81,3723,0,0
2017.10.05 00:00,69.35,69.37,68.02,68.12,2406,0,0
2017.10.06 00:00,68.22,69.09,67.72,68.5,2324,0,0
2017.10.09 00:00,68.59,68.97,68.19,68.9,1994,0,0
2017.10.10 00:00,68.96,69.79,68.53,68.86,2954,0,0
