time,open,high,low,close,tick_volume,spread,real_volume
2023.10.02 11:05,86.98,87.19,86.62,86.9,1342,0,0
2023.10.02 15:05,86.91,87.82,86.75,87.7,3007,0,0
2023.10.02 19:05,87.69,87.8,87.52,87.66,642,0,0
2023.10.03 03:05,87.57,87.72,87.45,87.56,340,0,0
2023.10.03 07:05,87.56,87.61,87.32,87.4,515,0,0
2023.10.03 11:05,87.4,87.59,86.98,87.56,1110,0,0
2023.10.03 15:05,87.55,87.65,86.95,87.41,3305,0,0
2023.10.03 19:05,87.4,87.52,87.26,87.4,585,0,0
2023.10.04 03:05,87.56,87.61,87.22,87.26,282,0,0
2023.10.04 07:05,87.28,87.82,87.17,87.63,970,0,0
2023.10.04 11:05,87.62,87.73,87.25,87.56,1287,0,0
2023.10.04 15:05,87.55,87.6,86.61,87.19,2818,0,0
2023.10.04 19:05,87.2,87.38,86.84,86.92,522,0,0
2023.10.05 03:05,87.15,87.39,87.13,87.32,310,0,0
2023.10.05 07:05,87.32,87.39,86.96,86.98,661,0,0
2023.10.05 11:05,86.97,87.19,86.68,86.81,1280,0,0
2023.10.05 15:05,86.81,87.96,86.37,86.52,3022,0,0
2023.10.05 19:05,86.51,86.79,86.43,86.54,784,0,0
2023.10.06 03:05,86.66,86.86,86.5,86.71,221,0,0
2023.10.06 07:05,86.7,87.36,86.45,87.3,635,0,0
2023.10.06 11:05,87.3,87.41,86.48,86.66,1558,0,0
2023.10.06 15:05,86.65,87.35,86.5,87.04,2473,0,0
2023.10.06 19:05,87.03,87.31,86.92,87.11,585,0,0
2023.10.09 03:05,87.97,88.67,87.88,88.18,844,0,0
2023.10.09 07:05,88.16,88.5,88.12,88.38,676,0,0
2023.10.09 11:05,88.37,88.59,88.12,88.26,1003,0,0
2023.10.09 15:05,88.27,88.48,86.76,86.92,2290,0,0
2023.10.09 19:05,86.93,87.19,86.72,87.0,676,0,0
2023.10.10 03:05,87.08,87.18,86.12,86.43,881,0,0
2023.10.10 07:05,86.42,86.48,86.07,86.25,863,0,0
2023.10.10 11:05,86.24,86.28,85.77,85.87,1030,0,0
2023.10.10 15:05,85.85,86.19,85.27,85.28,2222,0,0
2023.10.10 19:05,85.27,85.68,85.27,85.39,721,0,0
2023.10.11 03:05,85.62,86.04,85.43,85.9,816,0,0
2023.10.11 07:05,85.87,85.92,84.92,84.96,1106,0,0
2023.10.11 11:05,84.95,85.03,84.7,84.98,1004,0,0
2023.10.11 15:05,84.99,85.5,84.29,85.17,2797,0,0
2023.10.11 19:05,85.19,85.3,84.8,85.08,740,0,0
2023.10.12 03:05,84.96,85.03,84.47,85.03,633,0,0
2023.10.12 07:05,85.05,85.23,84.41,85.17,1044,0,0
2023.10.12 11:05,85.17,85.59,84.93,85.05,1479,0,0
2023.10.12 15:05,85.05,85.32,84.05,85.06,3402,0,0
