time,open,high,low,close,tick_volume,spread,real_volume
2025.04.23 15:32,68.88,68.89,68.86,68.86,8,0,0
2025.04.23 15:33,68.84,68.84,68.76,68.82,16,0,0
2025.04.23 15:34,68.83,68.88,68.83,68.85,9,0,0
2025.04.23 15:35,68.86,68.91,68.86,68.87,14,0,0
2025.04.23 15:36,68.89,68.91,68.88,68.89,9,0,0
2025.04.23 15:37,68.9,69.0,68.89,68.99,20,0,0
2025.04.23 15:38,69.0,69.01,68.93,68.97,43,0,0
2025.04.23 15:39,68.95,69.01,68.92,69.0,33,0,0
2025.04.23 15:40,68.99,69.1,68.99,69.07,20,0,0
2025.04.23 15:41,69.09,69.17,69.07,69.17,18,0,0
2025.04.23 15:42,69.16,69.17,69.13,69.16,19,0,0
2025.04.23 15:43,69.15,69.16,69.13,69.15,14,0,0
2025.04.23 15:44,69.16,69.2,69.16,69.2,12,0,0
2025.04.23 15:45,69.21,69.49,69.21,69.49,17,0,0
2025.04.23 15:46,69.5,69.51,69.39,69.4,43,0,0
2025.04.23 15:47,69.41,69.46,69.36,69.37,30,0,0
2025.04.23 15:48,69.36,69.36,69.27,69.3,30,0,0
2025.04.23 15:49,69.29,69.39,69.29,69.35,19,0,0
2025.04.23 15:50,69.36,69.39,69.21,69.22,26,0,0
2025.04.23 15:51,69.22,69.25,69.14,69.25,25,0,0
2025.04.23 15:52,69.25,69.27,69.05,69.15,47,0,0
2025.04.23 15:53,69.15,69.21,69.15,69.2,18,0,0
2025.04.23 15:54,69.22,69.23,69.05,69.05,28,0,0
2025.04.23 15:55,69.03,69.06,68.96,68.96,37,0,0
2025.04.23 15:56,68.94,69.01,68.86,69.0,27,0,0
2025.04.23 15:57,69.0,69.01,68.96,68.98,19,0,0
2025.04.23 15:58,68.97,68.97,68.87,68.88,26,0,0
2025.04.23 15:59,68.87,68.89,68.86,68.88,17,0,0
2025.04.23 16:00,68.9,68.92,68.82,68.91,42,0,0
2025.04.23 16:01,68.94,69.0,68.92,68.99,24,0,0
2025.04.23 16:02,68.98,68.99,68.9,68.99,23,0,0
2025.04.23 16:03,68.99,69.01,68.93,69.0,22,0,0
2025.04.23 16:04,68.99,69.08,68.97,69.06,19,0,0
2025.04.23 16:05,69.06,69.06,68.98,69.01,25,0,0
2025.04.23 16:06,69.0,69.01,68.91,68.95,24,0,0
2025.04.23 16:07,68.96,69.0,68.96,68.96,17,0,0
2025.04.23 16:08,68.97,69.03,68.95,69.03,21,0,0
2025.04.23 16:09,69.01,69.16,69.01,69.14,25,0,0
2025.04.23 16:10,69.15,69.19,69.12,69.16,37,0,0
2025.04.23 16:11,69.14,69.16,68.81,68.84,41,0,0
2025.04.23 16:12,68.82,68.85,68.62,68.73,48,0,0
2025.04.23 16:13,68.75,68.88,68.75,68.79,30,0,0
2025.04.23 16:14,68.79,68.8,68.54,68.6,34,0,0
2025.04.23 16:15,68.6,68.76,68.6,68.76,37,0,0
2025.04.23 16:16,68.74,68.88,68.71,68.88,31,0,0
2025.04.23 16:17,68.89,68.9,68.77,68.83,25,0,0
2025.04.23 16:18,68.83,68.85,68.8,68.85,19,0,0
2025.04.23 16:19,68.86,68.87,68.84,68.85,17,0,0
2025.04.23 16:20,68.83,68.84,68.76,68.81,13,0,0
2025.04.23 16:21,68.81,68.81,68.7,68.7,38,0,0
2025.04.23 16:22,68.68,68.68,68.47,68.55,31,0,0
2025.04.23 16:23,68.59,68.68,68.56,68.68,31,0,0
2025.04.23 16:24,68.67,68.69,68.66,68.67,17,0,0
2025.04.23 16:25,68.69,68.7,68.61,68.69,19,0,0
2025.04.23 16:26,68.68,68.69,68.63,68.66,19,0,0
2025.04.23 16:27,68.66,68.7,68.66,68.7,15,0,0
2025.04.23 16:28,68.69,68.81,68.69,68.8,20,0,0
2025.04.23 16:29,68.79,68.79,68.71,68.75,27,0,0
2025.04.23 16:30,68.8,68.91,68.72,68.91,37,0,0
2025.04.23 16:31,68.91,68.93,68.88,68.93,21,0,0
2025.04.23 16:32,68.94,69.04,68.92,69.02,19,0,0
2025.04.23 16:33,69.03,69.11,69.03,69.05,23,0,0
2025.04.23 16:34,69.06,69.08,69.03,69.04,18,0,0
2025.04.23 16:35,69.02,69.11,69.02,69.09,16,0,0
2025.04.23 16:36,69.08,69.1,69.05,69.1,9,0,0
2025.04.23 16:37,69.11,69.15,69.11,69.13,13,0,0
2025.04.23 16:38,69.09,69.15,69.06,69.15,21,0,0
2025.04.23 16:39,69.14,69.15,69.1,69.13,12,0,0
2025.04.23 16:40,69.15,69.16,69.13,69.15,17,0,0
2025.04.23 16:41,69.14,69.25,69.14,69.23,19,0,0
2025.04.23 16:42,69.22,69.22,69.17,69.22,16,0,0
2025.04.23 16:43,69.22,69.26,69.18,69.2,15,0,0
2025.04.23 16:44,69.2,69.22,69.18,69.19,16,0,0
2025.04.23 16:45,69.21,69.23,69.2,69.2,17,0,0
2025.04.23 16:46,69.19,69.22,69.19,69.22,8,0,0
2025.04.23 16:47,69.23,69.23,69.13,69.17,21,0,0
2025.04.23 16:48,69.15,69.17,69.05,69.05,19,0,0
2025.04.23 16:49,69.03,69.13,69.03,69.11,24,0,0
2025.04.23 16:50,69.13,69.15,69.07,69.15,29,0,0
2025.04.23 16:51,69.15,69.15,69.06,69.09,21,0,0
2025.04.23 16:52,69.08,69.08,68.98,69.01,21,0,0
2025.04.23 16:53,69.02,69.02,68.88,68.88,23,0,0
2025.04.23 16:54,68.91,68.91,68.84,68.9,9,0,0
2025.04.23 16:55,68.92,68.93,68.83,68.84,29,0,0
2025.04.23 16:56,68.85,68.89,68.83,68.85,15,0,0
2025.04.23 16:57,68.86,68.9,68.82,68.83,23,0,0
2025.04.23 16:58,68.84,68.85,68.79,68.8,20,0,0
