time,open,high,low,close,tick_volume,spread,real_volume
2022.09.22 12:05,70.21,70.91,70.02,70.48,1841,0,0
2022.09.22 16:05,70.48,71.04,69.92,70.01,1240,0,0
2022.09.23 08:05,69.55,70.27,66.6,66.85,3157,0,0
2022.09.23 12:05,66.89,67.85,66.35,66.82,2659,0,0
2022.09.23 16:05,66.73,66.87,65.33,66.01,1537,0,0
2022.09.26 08:05,64.45,67.28,64.42,66.88,2727,0,0
2022.09.26 12:05,66.86,66.92,65.68,65.74,2227,0,0
2022.09.26 16:05,65.73,71.86,65.72,70.01,2168,0,0
2022.09.27 08:05,69.62,69.75,67.5,67.78,2985,0,0
2022.09.27 12:05,67.79,68.52,67.34,68.13,2836,0,0
2022.09.27 16:05,68.13,68.29,67.55,68.17,1612,0,0
2022.09.28 08:05,67.76,68.21,65.09,65.45,2956,0,0
2022.09.28 12:05,65.45,65.84,64.37,64.55,2165,0,0
2022.09.28 16:05,64.52,65.44,64.43,65.22,1156,0,0
2022.09.29 08:05,64.96,66.45,64.13,65.84,2918,0,0
2022.09.29 12:05,65.85,66.85,64.27,64.65,2601,0,0
2022.09.29 16:05,64.64,66.19,64.63,65.75,1624,0,0
2022.09.30 08:05,65.38,67.86,65.38,67.35,2989,0,0
2022.09.30 12:05,67.3,68.6,66.2,67.08,2818,0,0
2022.09.30 16:05,67.09,67.62,66.08,66.1,1405,0,0
2022.10.03 08:05,66.15,66.16,64.23,65.11,2264,0,0
2022.10.03 12:05,65.06,66.07,64.4,65.06,2408,0,0
2022.10.03 16:05,65.03,66.63,64.95,65.76,1624,0,0
2022.10.04 08:05,67.43,68.25,65.82,66.47,2786,0,0
2022.10.04 12:05,66.47,68.25,65.37,67.67,3118,0,0
2022.10.04 16:05,67.69,67.8,66.67,67.38,1459,0,0
2022.10.05 08:05,67.15,71.32,67.0,70.45,3617,0,0
2022.10.05 12:05,70.41,70.91,67.05,67.41,4339,0,0
2022.10.05 16:05,67.39,67.61,66.5,66.89,1608,0,0
2022.10.06 08:05,67.49,68.17,65.51,67.71,3630,0,0
2022.10.06 12:05,67.73,69.19,67.5,67.96,3546,0,0
2022.10.06 16:05,68.01,69.44,67.79,68.9,1483,0,0
2022.10.07 08:05,68.94,69.46,67.64,68.64,2784,0,0
2022.10.07 12:05,68.65,70.33,68.21,69.89,3268,0,0
2022.10.07 16:05,69.88,70.11,68.59,68.65,1242,0,0
2022.10.10 08:05,68.73,69.38,66.68,68.04,2476,0,0
2022.10.10 12:05,68.05,68.12,66.0,66.24,2102,0,0
2022.10.10 16:05,66.23,67.13,65.69,66.9,1627,0,0
2022.10.11 08:05,66.67,67.38,65.77,66.35,2874,0,0
2022.10.11 12:05,66.37,66.38,65.65,66.22,2266,0,0
2022.10.11 16:05,66.2,66.81,66.04,66.42,1341,0,0
2022.10.12 08:05,66.22,68.62,65.0,67.63,2864,0,0
2022.10.12 12:05,67.62,68.15,65.68,65.91,2848,0,0
2022.10.12 16:05,65.91,66.87,65.87,66.42,1516,0,0
2022.10.13 08:05,66.51,68.17,65.69,67.78,2811,0,0
2022.10.13 12:05,67.76,69.36,66.64,68.2,3374,0,0
2022.10.13 16:05,68.49,69.45,68.25,68.82,1671,0,0
2022.10.14 08:05,68.59,68.61,67.67,67.92,2097,0,0
2022.10.14 12:05,67.95,68.11,67.1,67.81,2400,0,0
2022.10.14 16:05,67.76,68.41,67.65,68.04,1205,0,0
2022.10.17 08:05,67.4,68.21,66.31,68.05,2355,0,0
2022.10.17 12:05,68.06,68.6,67.41,67.74,2542,0,0
2022.10.17 16:05,67.7,68.01,67.19,67.49,1112,0,0
2022.10.18 08:05,67.21,67.64,66.69,66.84,1424,0,0
2022.10.18 12:05,66.85,68.35,66.5,67.87,2485,0,0
2022.10.18 16:05,67.84,68.17,67.43,67.43,1031,0,0
2022.10.19 08:05,67.53,69.57,67.27,68.73,1975,0,0
2022.10.19 12:05,68.75,68.85,66.97,67.56,2360,0,0
2022.10.19 16:05,67.57,67.77,67.05,67.28,1284,0,0
2022.10.20 08:05,67.28,67.8,66.64,66.8,2132,0,0
2022.10.20 12:05,66.81,67.84,66.54,66.88,1806,0,0
2022.10.20 16:05,66.92,67.41,66.7,66.73,1310,0,0
2022.10.21 08:05,66.83,68.4,66.72,67.86,2595,0,0
2022.10.21 12:05,67.87,68.45,67.12,68.38,1696,0,0
2022.10.21 16:05,68.39,69.4,67.9,69.03,1123,0,0
2022.10.24 08:05,68.08,68.68,67.53,68.25,1816,0,0
2022.10.24 12:05,68.23,70.82,67.99,70.82,2264,0,0
2022.10.24 16:05,70.83,72.6,70.62,72.41,2173,0,0
2022.10.25 08:05,72.27,75.24,71.99,74.97,3207,0,0
