time,open,high,low,close,tick_volume,spread,real_volume
2017.08.18 00:00,47.11,48.89,46.93,48.79,7410,0,0
2017.08.21 00:00,48.7,48.87,47.22,47.56,7345,0,0
2017.08.22 00:00,47.68,48.21,47.36,47.62,7436,0,0
2017.08.23 00:00,47.63,48.5,47.54,48.37,6298,0,0
2017.08.24 00:00,48.38,48.43,47.07,47.62,6657,0,0
2017.08.25 00:00,47.71,47.91,47.4,47.77,7264,0,0
2017.08.28 00:00,47.75,47.76,46.16,46.8,7133,0,0
2017.08.29 00:00,46.81,46.97,45.77,46.33,7588,0,0
2017.08.30 00:00,46.26,46.71,45.84,45.96,8361,0,0
2017.08.31 00:00,45.82,47.46,45.8,47.09,8897,0,0
2017.09.01 00:00,47.03,47.34,46.57,47.32,7729,0,0
2017.09.04 00:00,47.28,47.65,47.16,47.37,3717,0,0
2017.09.05 00:00,47.4,48.99,47.35,48.63,6021,0,0
2017.09.06 00:00,48.58,49.41,48.53,49.16,6321,0,0
2017.09.07 00:00,49.15,49.33,48.64,49.11,6978,0,0
2017.09.08 00:00,49.14,49.25,47.28,47.59,5555,0,0
2017.09.11 00:00,47.71,48.26,47.01,48.11,5525,0,0
2017.09.12 00:00,48.07,48.43,47.74,48.37,5134,0,0
2017.09.13 00:00,48.27,49.39,48.13,49.31,4240,0,0
2017.09.14 00:00,49.63,50.88,49.57,50.18,6487,0,0
2017.09.15 00:00,50.22,50.6,49.88,50.47,6888,0,0
2017.09.18 00:00,50.34,50.85,49.68,50.36,4939,0,0
2017.09.19 00:00,50.37,50.82,49.74,50.27,4275,0,0
2017.09.20 00:00,50.24,51.11,50.14,50.72,5069,0,0
2017.09.21 00:00,50.68,50.8,50.08,50.73,3502,0,0
2017.09.22 00:00,50.69,50.78,50.29,50.64,3538,0,0
2017.09.25 00:00,50.62,52.28,50.4,52.12,3996,0,0
2017.09.26 00:00,52.08,52.42,51.44,52.07,5875,0,0
2017.09.27 00:00,52.08,52.33,51.65,52.03,5597,0,0
2017.09.28 00:00,52.1,52.86,51.16,51.6,5748,0,0
2017.09.29 00:00,51.59,51.77,51.19,51.55,5034,0,0
2017.10.02 00:00,51.62,51.67,50.07,50.56,4613,0,0
2017.10.03 00:00,50.53,50.72,50.14,50.18,4300,0,0
2017.10.04 00:00,50.09,50.66,49.78,49.89,4842,0,0
2017.10.05 00:00,49.88,51.21,49.85,50.76,4589,0,0
2017.10.06 00:00,50.72,50.82,49.1,49.29,5876,0,0
2017.10.09 00:00,49.47,49.78,49.13,49.56,4820,0,0
2017.10.10 00:00,49.63,51.06,49.57,50.95,4116,0,0
2017.10.11 00:00,50.89,51.42,50.61,51.02,5675,0,0
2017.10.12 00:00,51.41,51.41,50.48,51.06,6829,0,0
2017.10.13 00:00,51.07,52.03,51.02,51.63,7158,0,0
2017.10.16 00:00,52.12,52.65,51.9,52.2,5604,0,0
2017.10.17 00:00,52.11,52.51,51.48,52.18,5369,0,0
2017.10.18 00:00,52.33,52.55,51.93,52.25,5267,0,0
2017.10.19 00:00,52.33,52.39,51.28,51.58,4867,0,0
2017.10.20 00:00,51.63,51.96,50.88,51.96,4691,0,0
2017.10.23 00:00,52.11,52.29,51.69,51.86,4468,0,0
2017.10.24 00:00,51.94,52.6,51.56,52.53,4913,0,0
2017.10.25 00:00,52.44,52.47,51.9,52.15,4786,0,0
2017.10.26 00:00,52.15,52.85,51.92,52.81,3602,0,0
2017.10.27 00:00,52.67,54.03,52.25,53.96,4412,0,0
2017.10.30 00:00,54.06,54.45,53.76,54.12,4160,0,0
2017.10.31 00:00,54.07,54.83,53.94,54.64,3971,0,0
2017.11.01 00:00,54.59,55.22,53.9,54.28,5655,0,0
2017.11.02 00:00,54.28,54.83,53.99,54.73,4318,0,0
2017.11.03 00:00,54.89,55.76,54.41,55.71,4876,0,0
2017.11.06 00:00,55.79,57.61,55.66,57.24,6393,0,0
2017.11.07 00:00,57.23,57.68,56.83,56.94,6175,0,0
2017.11.08 00:00,57.08,57.91,56.43,56.82,7074,0,0
2017.11.09 00:00,56.85,57.52,56.69,57.02,6044,0,0
2017.11.10 00:00,57.04,57.34,56.55,56.83,4849,0,0
2017.11.13 00:00,56.89,57.15,56.31,56.74,4832,0,0
2017.11.14 00:00,56.7,56.74,54.82,54.99,6703,0,0
2017.11.15 00:00,55.27,55.74,55.11,55.5,6006,0,0
2017.11.16 00:00,55.49,55.83,55.15,55.47,4273,0,0
2017.11.17 00:00,55.46,56.81,55.43,56.73,5372,0,0
2017.11.20 00:00,56.72,56.92,55.76,56.38,4700,0,0
2017.11.21 00:00,56.35,57.22,56.34,57.08,5232,0,0
2017.11.22 00:00,57.22,58.14,57.22,58.05,5978,0,0
2017.11.23 00:00,57.95,58.58,57.76,58.56,2094,0,0
2017.11.24 00:00,58.4,59.03,58.37,58.98,3357,0,0
2017.11.27 00:00,58.75,58.77,57.56,57.84,4891,0,0
2017.11.28 00:00,57.86,58.1,57.43,57.76,4183,0,0
