time,open,high,low,close,tick_volume,spread,real_volume
2025.01.23 23:00,1.04148,1.04174,1.04122,1.04168,1108,0,0
2025.01.24 00:00,1.04159,1.04175,1.04142,1.04154,766,0,0
2025.01.24 01:00,1.04153,1.04227,1.04131,1.0419,1929,0,0
2025.01.24 02:00,1.04189,1.042,1.04113,1.04156,2067,0,0
2025.01.24 03:00,1.04157,1.04487,1.04157,1.04485,4408,0,0
2025.01.24 04:00,1.04484,1.04535,1.04362,1.04459,3913,0,0
2025.01.24 05:00,1.04458,1.04511,1.04432,1.0447,2531,0,0
2025.01.24 06:00,1.0447,1.04534,1.04435,1.0451,1912,0,0
2025.01.24 07:00,1.04511,1.047,1.0449,1.0457,3073,0,0
2025.01.24 08:00,1.04571,1.04647,1.0447,1.04607,5189,0,0
2025.01.24 09:00,1.04604,1.04948,1.04576,1.04933,6970,0,0
2025.01.24 10:00,1.04918,1.05147,1.04904,1.0494,5954,0,0
2025.01.24 11:00,1.04941,1.04975,1.04859,1.04887,3543,0,0
2025.01.24 12:00,1.04888,1.04928,1.04808,1.04856,3105,0,0
2025.01.24 13:00,1.04856,1.04873,1.0473,1.04736,3217,0,0
2025.01.24 14:00,1.04735,1.04795,1.04633,1.04683,4750,0,0
2025.01.24 15:00,1.04682,1.04939,1.04669,1.04911,5926,0,0
2025.01.24 16:00,1.04905,1.05202,1.04895,1.0516,7774,0,0
2025.01.24 17:00,1.05159,1.05202,1.05043,1.05142,5165,0,0
2025.01.24 18:00,1.05141,1.05211,1.05096,1.05107,3711,0,0
2025.01.24 19:00,1.05107,1.05115,1.04936,1.04949,2728,0,0
2025.01.24 20:00,1.04948,1.04983,1.04917,1.0495,2442,0,0
2025.01.24 21:00,1.04949,1.0496,1.04879,1.04943,2223,0,0
2025.01.26 23:00,1.04766,1.04844,1.04761,1.04822,816,0,0
2025.01.27 00:00,1.04822,1.0485,1.04649,1.04672,2262,0,0
2025.01.27 01:00,1.04672,1.0476,1.0465,1.04724,2612,0,0
