time,open,high,low,close,tick_volume,spread,real_volume
2017.04.07 00:00,368.29,369.34,365.03,367.05,523,0,0
2017.04.10 00:00,367.59,373.34,366.28,373.09,732,0,0
2017.04.11 00:00,373.07,375.84,369.3,372.34,1022,0,0
2017.04.12 00:00,374.03,378.34,373.03,377.09,1867,0,0
2017.04.13 00:00,375.79,379.09,375.53,377.58,1716,0,0
2017.04.17 00:00,378.33,378.58,371.82,372.29,827,0,0
2017.04.18 00:00,373.59,374.33,367.08,367.34,1123,0,0
2017.04.19 00:00,367.3,371.59,367.05,367.78,966,0,0
2017.04.20 00:00,368.04,370.59,364.3,364.84,1530,0,0
2017.04.21 00:00,363.59,365.08,360.54,365.08,1750,0,0
2017.04.24 00:00,366.34,366.84,362.28,364.58,1379,0,0
2017.04.25 00:00,364.55,374.59,362.34,373.82,2580,0,0
2017.04.26 00:00,372.55,374.34,365.8,368.05,2164,0,0
2017.04.27 00:00,366.08,370.84,365.79,369.28,1610,0,0
2017.04.28 00:00,367.03,368.84,363.28,364.55,1678,0,0
2017.05.01 00:00,371.08,378.84,369.28,378.08,4754,0,0
2017.05.02 00:00,377.03,378.09,370.03,371.55,2596,0,0
2017.05.03 00:00,371.04,375.57,369.8,374.33,1869,0,0
2017.05.04 00:00,374.58,375.82,365.78,366.04,2313,0,0
2017.05.05 00:00,368.07,373.59,366.57,371.05,2128,0,0
2017.05.08 00:00,369.82,371.07,364.78,365.07,1580,0,0
2017.05.09 00:00,365.79,369.09,365.53,367.83,1403,0,0
2017.05.10 00:00,366.3,373.59,365.78,372.8,2535,0,0
2017.05.11 00:00,372.59,373.59,368.82,369.57,1774,0,0
2017.05.12 00:00,368.57,371.32,367.78,370.29,1316,0,0
2017.05.15 00:00,370.3,371.59,367.79,368.3,1627,0,0
2017.05.16 00:00,367.32,368.59,365.03,366.53,1424,0,0
2017.05.17 00:00,366.33,372.09,366.08,370.83,1915,0,0
2017.05.18 00:00,370.8,370.84,364.28,366.07,2084,0,0
2017.05.19 00:00,366.54,372.84,366.34,371.29,2362,0,0
2017.05.22 00:00,372.58,377.34,372.28,375.09,3140,0,0
2017.05.23 00:00,374.58,375.55,369.03,369.3,2227,0,0
2017.05.24 00:00,371.07,371.34,368.53,370.58,1315,0,0
2017.05.25 00:00,371.55,372.84,369.03,369.04,1264,0,0
2017.05.26 00:00,369.32,374.59,368.53,373.8,1992,0,0
2017.05.30 00:00,373.59,373.59,366.03,367.54,2338,0,0
2017.05.31 00:00,370.29,376.34,369.28,371.09,3147,0,0
2017.06.01 00:00,370.82,373.59,367.28,369.84,2048,0,0
2017.06.02 00:00,369.59,374.59,369.28,372.07,1603,0,0
2017.06.05 00:00,373.58,375.29,371.79,372.05,1427,0,0
2017.06.06 00:00,371.34,379.59,371.03,378.32,3017,0,0
2017.06.07 00:00,378.82,386.83,378.28,384.32,3342,0,0
2017.06.08 00:00,385.55,391.59,384.83,386.78,4120,0,0
2017.06.09 00:00,391.3,397.08,388.53,395.8,1353,0,0
2017.06.12 00:00,392.3,394.83,383.8,386.82,1151,0,0
2017.06.13 00:00,386.79,391.34,385.55,388.07,745,0,0
2017.06.14 00:00,388.59,392.57,384.09,385.03,989,0,0
2017.06.15 00:00,383.08,389.59,377.8,387.29,1102,0,0
2017.06.16 00:00,386.07,391.59,386.03,391.09,1037,0,0
2017.06.19 00:00,383.8,388.09,383.53,384.08,1000,0,0
2017.06.20 00:00,384.59,385.34,377.03,378.05,1031,0,0
2017.06.21 00:00,377.82,381.08,375.79,377.33,933,0,0
2017.06.22 00:00,376.05,377.04,370.53,370.83,1223,0,0
2017.06.23 00:00,370.29,372.34,364.29,366.3,1378,0,0
2017.06.26 00:00,367.78,369.34,365.09,367.03,1401,0,0
2017.06.27 00:00,369.55,372.34,367.55,368.09,1330,0,0
2017.06.28 00:00,368.28,368.83,365.78,366.28,1783,0,0
2017.06.29 00:00,366.04,371.84,365.54,369.29,2341,0,0
2017.06.30 00:00,370.8,378.59,369.32,375.33,4213,0,0
2017.07.03 00:00,386.55,395.84,383.03,384.83,5262,0,0
2017.07.05 00:00,2.979,3.01,2.82,2.845,5401,0,0
2017.07.06 00:00,2.857,2.886,2.851,2.884,3997,0,0
2017.07.07 00:00,2.892,2.938,2.836,2.849,3978,0,0
2017.07.10 00:00,2.876,2.938,2.86,2.913,4056,0,0
2017.07.11 00:00,2.923,3.045,2.919,3.027,3954,0,0
2017.07.12 00:00,3.02,3.025,2.958,2.988,4284,0,0
2017.07.13 00:00,3.001,3.011,2.935,2.953,5576,0,0
2017.07.14 00:00,2.945,2.99,2.925,2.972,5026,0,0
2017.07.17 00:00,2.978,3.04,2.972,3.012,4448,0,0
2017.07.18 00:00,3.024,3.085,3.01,3.075,4071,0,0
2017.07.19 00:00,3.066,3.093,3.05,3.06,3790,0,0
2017.07.20 00:00,3.049,3.088,2.998,3.013,5331,0,0
2017.07.21 00:00,3.012,3.021,2.918,2.943,4652,0,0
2017.07.24 00:00,2.906,2.934,2.855,2.877,4335,0,0
2017.07.25 00:00,2.881,2.926,2.874,2.918,3037,0,0
2017.07.26 00:00,2.937,2.942,2.871,2.913,2856,0,0
2017.07.27 00:00,2.91,2.981,2.887,2.95,4105,0,0
2017.07.28 00:00,2.965,2.973,2.925,2.936,2891,0,0
2017.07.31 00:00,2.873,2.879,2.77,2.801,3123,0,0
2017.08.01 00:00,2.817,2.825,2.75,2.813,3639,0,0
2017.08.02 00:00,2.805,2.828,2.774,2.805,3069,0,0
2017.08.03 00:00,2.807,2.837,2.78,2.784,2865,0,0
2017.08.04 00:00,2.774,2.79,2.743,2.775,2474,0,0
2017.08.07 00:00,2.788,2.802,2.756,2.798,2327,0,0
2017.08.08 00:00,2.805,2.822,2.772,2.807,2390,0,0
2017.08.09 00:00,2.801,2.89,2.8,2.871,2980,0,0
2017.08.10 00:00,2.868,2.986,2.859,2.966,4280,0,0
2017.08.11 00:00,2.975,2.984,2.95,2.97,2833,0,0
2017.08.14 00:00,2.988,3.001,2.913,2.95,3121,0,0
2017.08.15 00:00,2.956,2.957,2.91,2.917,2991,0,0
2017.08.16 00:00,2.899,2.924,2.871,2.881,2937,0,0
2017.08.17 00:00,2.88,2.931,2.85,2.911,4314,0,0
2017.08.18 00:00,2.913,2.919,2.874,2.89,2591,0,0
2017.08.21 00:00,2.893,2.97,2.856,2.959,4553,0,0
2017.08.22 00:00,2.953,2.996,2.914,2.927,4097,0,0
2017.08.23 00:00,2.961,2.976,2.919,2.952,4060,0,0
2017.08.24 00:00,2.947,3.005,2.942,2.965,4227,0,0
2017.08.25 00:00,2.962,2.972,2.902,2.921,3498,0,0
2017.08.28 00:00,2.91,2.988,2.868,2.953,3723,0,0
2017.08.29 00:00,2.963,2.981,2.932,2.97,3092,0,0
2017.08.30 00:00,2.959,2.961,2.916,2.935,2529,0,0
2017.08.31 00:00,2.927,3.037,2.895,3.021,4890,0,0
2017.09.01 00:00,3.037,3.078,2.985,3.053,3982,0,0
2017.09.04 00:00,3.026,3.05,3.005,3.012,1412,0,0
2017.09.05 00:00,3.018,3.035,2.954,2.964,3903,0,0
2017.09.06 00:00,2.95,3.021,2.948,3.0,3330,0,0
2017.09.07 00:00,3.004,3.021,2.957,2.966,3980,0,0
2017.09.08 00:00,2.956,2.966,2.874,2.889,3188,0,0
2017.09.11 00:00,2.913,2.943,2.888,2.939,2488,0,0
2017.09.12 00:00,2.946,3.034,2.924,2.99,4002,0,0
2017.09.13 00:00,2.997,3.069,2.995,3.048,3394,0,0
2017.09.14 00:00,3.055,3.096,3.025,3.058,3772,0,0
2017.09.15 00:00,3.05,3.064,2.994,3.026,2752,0,0
2017.09.18 00:00,3.055,3.15,3.053,3.143,3567,0,0
2017.09.19 00:00,3.136,3.156,3.101,3.113,2876,0,0
2017.09.20 00:00,3.118,3.139,3.065,3.07,3499,0,0
2017.09.21 00:00,3.126,3.136,2.995,3.011,5563,0,0
2017.09.22 00:00,3.012,3.03,2.998,3.012,3559,0,0
2017.09.25 00:00,3.023,3.041,2.969,2.982,3362,0,0
2017.09.26 00:00,2.996,3.016,2.967,2.996,2677,0,0
2017.09.27 00:00,3.016,3.08,2.993,3.054,3398,0,0
2017.09.28 00:00,3.054,3.071,2.991,3.011,3673,0,0
2017.09.29 00:00,3.003,3.036,2.982,3.009,2792,0,0
2017.10.02 00:00,3.001,3.006,2.88,2.919,3458,0,0
2017.10.03 00:00,2.921,2.926,2.871,2.896,3450,0,0
2017.10.04 00:00,2.909,2.968,2.892,2.931,3491,0,0
2017.10.05 00:00,2.94,2.983,2.886,2.892,3914,0,0
2017.10.06 00:00,2.898,2.908,2.847,2.86,3650,0,0
2017.10.09 00:00,2.857,2.878,2.818,2.826,2985,0,0
2017.10.10 00:00,2.841,2.889,2.829,2.877,3280,0,0
2017.10.11 00:00,2.898,2.954,2.874,2.897,3984,0,0
2017.10.12 00:00,2.897,3.003,2.885,2.98,5476,0,0
2017.10.13 00:00,2.99,3.029,2.974,2.985,4459,0,0
2017.10.16 00:00,2.958,2.967,2.898,2.949,4857,0,0
2017.10.17 00:00,2.963,3.018,2.913,2.913,6324,0,0
2017.10.18 00:00,2.91,2.925,2.842,2.858,4892,0,0
2017.10.19 00:00,2.874,2.903,2.764,2.878,8050,0,0
2017.10.20 00:00,3.071,3.121,3.055,3.094,7431,0,0
2017.10.23 00:00,3.125,3.175,3.12,3.124,5425,0,0
2017.10.24 00:00,3.143,3.156,3.107,3.14,3845,0,0
2017.10.25 00:00,3.131,3.139,3.067,3.086,4422,0,0
2017.10.26 00:00,3.078,3.083,3.026,3.043,4726,0,0
2017.10.27 00:00,3.036,3.038,2.935,2.963,5376,0,0
2017.10.30 00:00,2.961,2.999,2.938,2.979,3367,0,0
2017.10.31 00:00,2.996,2.996,2.873,2.897,4589,0,0
2017.11.01 00:00,2.902,2.921,2.837,2.887,5094,0,0
2017.11.02 00:00,2.909,2.95,2.895,2.927,4408,0,0
2017.11.03 00:00,2.93,2.99,2.923,2.985,4040,0,0
2017.11.06 00:00,3.045,3.136,3.041,3.109,4872,0,0
2017.11.07 00:00,3.122,3.167,3.078,3.144,6079,0,0
2017.11.08 00:00,3.12,3.183,3.103,3.149,5587,0,0
2017.11.09 00:00,3.151,3.21,3.149,3.202,6281,0,0
2017.11.10 00:00,3.214,3.216,3.16,3.21,6070,0,0
2017.11.13 00:00,3.164,3.222,3.118,3.134,5783,0,0
2017.11.14 00:00,3.109,3.114,3.054,3.077,6036,0,0
2017.11.15 00:00,3.077,3.146,3.042,3.083,6391,0,0
2017.11.16 00:00,3.077,3.103,3.038,3.064,5642,0,0
2017.11.17 00:00,3.06,3.12,3.058,3.118,5303,0,0
2017.11.20 00:00,3.047,3.067,3.017,3.022,5298,0,0
2017.11.21 00:00,3.011,3.056,3.003,3.008,4661,0,0
