time,open,high,low,close,tick_volume,spread,real_volume
2025.01.17 04:00,4.245,4.255,4.228,4.241,569,0,0
2025.01.17 05:00,4.245,4.25,4.219,4.228,304,0,0
2025.01.17 06:00,4.233,4.24,4.165,4.196,575,0,0
2025.01.17 07:00,4.194,4.201,4.116,4.134,825,0,0
2025.01.17 08:00,4.132,4.171,4.126,4.14,974,0,0
2025.01.17 09:00,4.144,4.158,4.125,4.138,690,0,0
2025.01.17 10:00,4.134,4.141,4.113,4.122,550,0,0
2025.01.17 11:00,4.125,4.137,4.101,4.125,584,0,0
2025.01.17 12:00,4.132,4.132,4.08,4.096,758,0,0
2025.01.17 13:00,4.097,4.115,4.052,4.074,1899,0,0
2025.01.17 14:00,4.072,4.104,3.986,4.033,3079,0,0
2025.01.17 15:00,4.032,4.041,3.948,4.017,3203,0,0
2025.01.17 16:00,4.02,4.063,3.984,4.004,2050,0,0
2025.01.17 17:00,4.002,4.023,3.961,4.018,1795,0,0
2025.01.17 18:00,4.019,4.051,3.949,3.992,2185,0,0
2025.01.17 19:00,3.991,4.001,3.934,3.964,2101,0,0
2025.01.17 20:00,3.966,3.972,3.912,3.936,2040,0,0
2025.01.17 21:00,3.935,3.935,3.911,3.915,557,0,0
2025.01.20 00:00,3.765,3.78,3.76,3.77,171,0,0
2025.01.20 01:00,3.77,3.776,3.76,3.776,242,0,0
2025.01.20 02:00,3.775,3.781,3.772,3.778,124,0,0
2025.01.20 03:00,3.775,3.78,3.768,3.778,111,0,0
2025.01.20 04:00,3.778,3.792,3.77,3.78,301,0,0
2025.01.20 05:00,3.776,3.785,3.763,3.779,172,0,0
2025.01.20 06:00,3.78,3.8,3.773,3.788,256,0,0
2025.01.20 07:00,3.785,3.801,3.777,3.792,414,0,0
2025.01.20 08:00,3.793,3.806,3.786,3.797,384,0,0
2025.01.20 09:00,3.798,3.803,3.783,3.799,238,0,0
2025.01.20 10:00,3.801,3.802,3.78,3.79,260,0,0
2025.01.20 11:00,3.791,3.796,3.77,3.772,259,0,0
2025.01.20 12:00,3.774,3.778,3.75,3.776,489,0,0
2025.01.20 13:00,3.774,3.809,3.773,3.806,487,0,0
2025.01.20 14:00,3.805,3.851,3.783,3.81,1204,0,0
2025.01.20 15:00,3.808,3.813,3.775,3.786,1131,0,0
2025.01.20 16:00,3.78,3.808,3.775,3.788,844,0,0
2025.01.20 17:00,3.789,3.847,3.785,3.824,1163,0,0
2025.01.20 18:00,3.824,3.859,3.82,3.838,1042,0,0
2025.01.20 19:00,3.845,3.848,3.815,3.833,579,0,0
2025.01.20 20:00,3.833,3.838,3.81,3.824,211,0,0
2025.01.21 00:00,3.806,3.821,3.787,3.79,243,0,0
2025.01.21 01:00,3.788,3.804,3.782,3.783,219,0,0
2025.01.21 02:00,3.783,3.802,3.781,3.79,191,0,0
2025.01.21 03:00,3.794,3.808,3.785,3.797,177,0,0
2025.01.21 04:00,3.8,3.806,3.793,3.804,160,0,0
2025.01.21 05:00,3.803,3.833,3.801,3.812,273,0,0
2025.01.21 06:00,3.812,3.846,3.804,3.828,234,0,0
2025.01.21 07:00,3.835,3.903,3.805,3.892,690,0,0
2025.01.21 08:00,3.897,3.909,3.883,3.898,586,0,0
2025.01.21 09:00,3.898,3.903,3.873,3.873,309,0,0
2025.01.21 10:00,3.875,3.892,3.86,3.866,383,0,0
2025.01.21 11:00,3.863,3.872,3.847,3.856,371,0,0
2025.01.21 12:00,3.852,3.869,3.826,3.851,805,0,0
2025.01.21 13:00,3.853,3.879,3.806,3.812,1092,0,0
2025.01.21 14:00,3.812,3.818,3.769,3.792,1813,0,0
2025.01.21 15:00,3.795,3.837,3.782,3.81,1675,0,0
2025.01.21 16:00,3.809,3.835,3.768,3.786,1559,0,0
2025.01.21 17:00,3.784,3.801,3.734,3.749,1748,0,0
2025.01.21 18:00,3.747,3.762,3.711,3.738,1438,0,0
2025.01.21 19:00,3.74,3.768,3.725,3.736,1173,0,0
2025.01.21 20:00,3.735,3.768,3.728,3.76,1046,0,0
2025.01.21 21:00,3.761,3.777,3.757,3.777,359,0,0
2025.01.21 22:00,3.772,3.788,3.768,3.775,267,0,0
2025.01.22 00:00,3.775,3.786,3.757,3.762,164,0,0
2025.01.22 01:00,3.761,3.777,3.754,3.772,116,0,0
2025.01.22 02:00,3.774,3.788,3.764,3.769,166,0,0
2025.01.22 03:00,3.768,3.768,3.752,3.757,104,0,0
2025.01.22 04:00,3.755,3.756,3.745,3.752,119,0,0
2025.01.22 05:00,3.753,3.767,3.745,3.758,153,0,0
2025.01.22 06:00,3.755,3.762,3.735,3.746,171,0,0
2025.01.22 07:00,3.741,3.748,3.725,3.728,276,0,0
2025.01.22 08:00,3.731,3.78,3.725,3.78,435,0,0
2025.01.22 09:00,3.779,3.79,3.766,3.781,334,0,0
2025.01.22 10:00,3.782,3.785,3.764,3.776,292,0,0
2025.01.22 11:00,3.776,3.781,3.762,3.765,245,0,0
2025.01.22 12:00,3.768,3.806,3.765,3.773,514,0,0
2025.01.22 13:00,3.772,3.781,3.704,3.717,1232,0,0
2025.01.22 14:00,3.72,3.769,3.708,3.735,1549,0,0
2025.01.22 15:00,3.735,3.811,3.727,3.801,2063,0,0
2025.01.22 16:00,3.802,3.833,3.797,3.81,1429,0,0
2025.01.22 17:00,3.814,3.905,3.803,3.892,1938,0,0
2025.01.22 18:00,3.889,3.931,3.858,3.916,1541,0,0
2025.01.22 19:00,3.913,3.96,3.906,3.954,1773,0,0
2025.01.22 20:00,3.952,3.981,3.942,3.96,1434,0,0
2025.01.22 21:00,3.964,3.991,3.956,3.982,605,0,0
2025.01.22 22:00,3.979,4.004,3.979,3.997,416,0,0
2025.01.23 00:00,3.516,3.53,3.505,3.517,292,0,0
2025.01.23 01:00,3.515,3.519,3.501,3.504,232,0,0
2025.01.23 02:00,3.507,3.51,3.487,3.491,153,0,0
2025.01.23 03:00,3.492,3.498,3.484,3.488,144,0,0
2025.01.23 04:00,3.493,3.504,3.477,3.486,268,0,0
2025.01.23 05:00,3.484,3.503,3.479,3.491,174,0,0
2025.01.23 06:00,3.496,3.512,3.482,3.498,328,0,0
2025.01.23 07:00,3.5,3.521,3.485,3.491,542,0,0
2025.01.23 08:00,3.491,3.501,3.482,3.488,260,0,0
2025.01.23 09:00,3.487,3.491,3.466,3.468,251,0,0
2025.01.23 10:00,3.47,3.482,3.465,3.471,228,0,0
2025.01.23 11:00,3.474,3.476,3.459,3.476,229,0,0
2025.01.23 12:00,3.476,3.531,3.472,3.526,587,0,0
2025.01.23 13:00,3.525,3.532,3.493,3.498,741,0,0
2025.01.23 14:00,3.501,3.55,3.479,3.532,1337,0,0
2025.01.23 15:00,3.532,3.555,3.514,3.553,1281,0,0
2025.01.23 16:00,3.553,3.578,3.453,3.483,2593,0,0
2025.01.23 17:00,3.486,3.497,3.4,3.42,2251,0,0
2025.01.23 18:00,3.42,3.442,3.406,3.409,1420,0,0
2025.01.23 19:00,3.413,3.453,3.405,3.436,1163,0,0
2025.01.23 20:00,3.436,3.473,3.414,3.466,1028,0,0
2025.01.23 21:00,3.469,3.481,3.454,3.457,462,0,0
2025.01.23 22:00,3.453,3.471,3.45,3.453,359,0,0
2025.01.24 00:00,3.456,3.467,3.449,3.454,190,0,0
2025.01.24 01:00,3.454,3.461,3.443,3.447,160,0,0
2025.01.24 02:00,3.447,3.458,3.442,3.457,115,0,0
2025.01.24 03:00,3.453,3.461,3.448,3.456,128,0,0
2025.01.24 04:00,3.455,3.463,3.452,3.459,103,0,0
2025.01.24 05:00,3.454,3.466,3.449,3.45,127,0,0
2025.01.24 06:00,3.453,3.459,3.442,3.445,166,0,0
2025.01.24 07:00,3.447,3.451,3.391,3.395,488,0,0
2025.01.24 08:00,3.391,3.409,3.388,3.403,398,0,0
2025.01.24 09:00,3.401,3.404,3.381,3.389,308,0,0
2025.01.24 10:00,3.385,3.39,3.375,3.379,288,0,0
2025.01.24 11:00,3.383,3.389,3.376,3.388,258,0,0
2025.01.24 12:00,3.384,3.39,3.362,3.369,313,0,0
2025.01.24 13:00,3.37,3.391,3.353,3.37,662,0,0
2025.01.24 14:00,3.37,3.383,3.35,3.368,999,0,0
2025.01.24 15:00,3.367,3.393,3.354,3.358,1240,0,0
2025.01.24 16:00,3.354,3.367,3.337,3.347,1121,0,0
2025.01.24 17:00,3.351,3.386,3.335,3.351,1296,0,0
2025.01.24 18:00,3.348,3.438,3.344,3.423,1735,0,0
2025.01.24 19:00,3.425,3.461,3.395,3.454,1739,0,0
2025.01.24 20:00,3.455,3.468,3.432,3.443,1022,0,0
2025.01.24 21:00,3.444,3.446,3.417,3.426,466,0,0
2025.01.27 00:00,3.289,3.34,3.263,3.326,688,0,0
2025.01.27 01:00,3.325,3.328,3.312,3.312,161,0,0
2025.01.27 02:00,3.315,3.315,3.295,3.299,202,0,0
2025.01.27 03:00,3.3,3.317,3.294,3.312,167,0,0
2025.01.27 04:00,3.311,3.321,3.307,3.31,154,0,0
2025.01.27 05:00,3.31,3.312,3.297,3.304,126,0,0
2025.01.27 06:00,3.306,3.309,3.28,3.297,252,0,0
2025.01.27 07:00,3.298,3.31,3.274,3.279,532,0,0
2025.01.27 08:00,3.278,3.279,3.255,3.255,415,0,0
2025.01.27 09:00,3.256,3.266,3.248,3.252,336,0,0
2025.01.27 10:00,3.252,3.267,3.243,3.249,331,0,0
2025.01.27 11:00,3.247,3.258,3.237,3.241,330,0,0
2025.01.27 12:00,3.245,3.271,3.237,3.264,470,0,0
2025.01.27 13:00,3.264,3.311,3.254,3.301,753,0,0
2025.01.27 14:00,3.302,3.306,3.263,3.293,1065,0,0
2025.01.27 15:00,3.291,3.299,3.227,3.242,1812,0,0
2025.01.27 16:00,3.245,3.248,3.205,3.238,1426,0,0
2025.01.27 17:00,3.238,3.25,3.169,3.177,1521,0,0
2025.01.27 18:00,3.18,3.233,3.18,3.221,1250,0,0
2025.01.27 19:00,3.225,3.238,3.201,3.228,1183,0,0
2025.01.27 20:00,3.228,3.252,3.224,3.244,928,0,0
2025.01.27 21:00,3.246,3.255,3.239,3.244,301,0,0
2025.01.27 22:00,3.24,3.245,3.229,3.236,218,0,0
2025.01.28 00:00,3.245,3.249,3.216,3.219,226,0,0
2025.01.28 01:00,3.222,3.23,3.217,3.223,96,0,0
2025.01.28 02:00,3.224,3.236,3.219,3.23,151,0,0
2025.01.28 03:00,3.229,3.244,3.225,3.238,104,0,0
2025.01.28 04:00,3.24,3.243,3.224,3.226,136,0,0
2025.01.28 05:00,3.229,3.244,3.224,3.241,95,0,0
2025.01.28 06:00,3.236,3.244,3.219,3.223,199,0,0
2025.01.28 07:00,3.22,3.249,3.209,3.213,378,0,0
2025.01.28 08:00,3.213,3.215,3.19,3.2,335,0,0
2025.01.28 09:00,3.199,3.21,3.188,3.202,284,0,0
2025.01.28 10:00,3.199,3.207,3.19,3.193,279,0,0
2025.01.28 11:00,3.193,3.199,3.18,3.185,256,0,0
2025.01.28 12:00,3.186,3.19,3.159,3.167,463,0,0
2025.01.28 13:00,3.165,3.178,3.142,3.173,702,0,0
2025.01.28 14:00,3.171,3.179,3.11,3.118,1470,0,0
2025.01.28 15:00,3.117,3.187,3.111,3.168,1517,0,0
2025.01.28 16:00,3.171,3.172,3.136,3.144,964,0,0
2025.01.28 17:00,3.138,3.146,3.11,3.125,1022,0,0
2025.01.28 18:00,3.123,3.124,3.09,3.096,1246,0,0
2025.01.28 19:00,3.097,3.146,3.085,3.136,1259,0,0
2025.01.28 20:00,3.139,3.153,3.097,3.11,1485,0,0
2025.01.28 21:00,3.114,3.115,3.077,3.082,647,0,0
2025.01.28 22:00,3.08,3.086,3.071,3.078,298,0,0
2025.01.29 00:00,3.081,3.103,3.072,3.091,270,0,0
2025.01.29 01:00,3.09,3.097,3.078,3.085,148,0,0
2025.01.29 02:00,3.082,3.089,3.07,3.074,134,0,0
2025.01.29 03:00,3.076,3.089,3.073,3.083,112,0,0
2025.01.29 04:00,3.086,3.087,3.073,3.078,92,0,0
2025.01.29 05:00,3.077,3.084,3.075,3.078,81,0,0
2025.01.29 06:00,3.08,3.08,3.058,3.064,228,0,0
2025.01.29 07:00,3.061,3.072,3.054,3.066,280,0,0
2025.01.29 08:00,3.063,3.1,3.059,3.086,365,0,0
2025.01.29 09:00,3.087,3.102,3.08,3.083,313,0,0
2025.01.29 10:00,3.086,3.091,3.065,3.071,401,0,0
2025.01.29 11:00,3.068,3.084,3.062,3.078,370,0,0
2025.01.29 12:00,3.078,3.107,3.066,3.075,579,0,0
2025.01.29 13:00,3.075,3.141,3.071,3.134,1019,0,0
2025.01.29 14:00,3.132,3.16,3.106,3.108,1361,0,0
2025.01.29 15:00,3.107,3.165,3.102,3.137,1631,0,0
2025.01.29 16:00,3.138,3.138,3.087,3.11,1425,0,0
2025.01.29 17:00,3.109,3.144,3.091,3.137,1339,0,0
2025.01.29 18:00,3.136,3.152,3.121,3.136,1224,0,0
2025.01.29 19:00,3.14,3.178,3.124,3.169,1534,0,0
2025.01.29 20:00,3.164,3.192,3.146,3.175,1507,0,0
2025.01.29 21:00,3.171,3.185,3.166,3.17,482,0,0
2025.01.29 22:00,3.169,3.187,3.166,3.168,264,0,0
2025.01.30 00:00,3.17,3.183,3.164,3.165,124,0,0
2025.01.30 01:00,3.166,3.173,3.164,3.169,66,0,0
2025.01.30 02:00,3.169,3.175,3.16,3.175,129,0,0
2025.01.30 03:00,3.175,3.177,3.151,3.157,132,0,0
2025.01.30 04:00,3.156,3.159,3.151,3.152,109,0,0
2025.01.30 05:00,3.157,3.173,3.148,3.162,118,0,0
2025.01.30 06:00,3.167,3.235,3.164,3.225,471,0,0
2025.01.30 07:00,3.222,3.226,3.171,3.175,471,0,0
2025.01.30 08:00,3.179,3.179,3.155,3.163,355,0,0
2025.01.30 09:00,3.163,3.178,3.155,3.159,290,0,0
2025.01.30 10:00,3.16,3.178,3.151,3.175,286,0,0
2025.01.30 11:00,3.175,3.195,3.162,3.191,341,0,0
2025.01.30 12:00,3.193,3.229,3.193,3.204,620,0,0
2025.01.30 13:00,3.208,3.215,3.164,3.188,817,0,0
2025.01.30 14:00,3.192,3.208,3.136,3.146,1176,0,0
2025.01.30 15:00,3.148,3.149,3.098,3.124,1559,0,0
2025.01.30 16:00,3.12,3.154,3.074,3.074,1892,0,0
2025.01.30 17:00,3.079,3.132,3.077,3.088,1653,0,0
2025.01.30 18:00,3.09,3.121,3.068,3.075,1503,0,0
2025.01.30 19:00,3.073,3.105,3.027,3.039,1408,0,0
2025.01.30 20:00,3.041,3.062,3.031,3.048,1309,0,0
2025.01.30 21:00,3.051,3.06,3.04,3.052,526,0,0
2025.01.30 22:00,3.049,3.078,3.049,3.073,265,0,0
2025.01.31 00:00,3.077,3.083,3.065,3.074,201,0,0
2025.01.31 01:00,3.069,3.108,3.065,3.103,454,0,0
2025.01.31 02:00,3.099,3.111,3.092,3.096,224,0,0
2025.01.31 03:00,3.092,3.096,3.085,3.088,142,0,0
2025.01.31 04:00,3.088,3.093,3.076,3.08,133,0,0
2025.01.31 05:00,3.08,3.091,3.08,3.088,102,0,0
2025.01.31 06:00,3.09,3.095,3.079,3.079,163,0,0
2025.01.31 07:00,3.078,3.084,3.049,3.06,402,0,0
2025.01.31 08:00,3.058,3.062,3.048,3.055,249,0,0
2025.01.31 09:00,3.055,3.085,3.052,3.08,297,0,0
2025.01.31 10:00,3.08,3.095,3.079,3.083,280,0,0
2025.01.31 11:00,3.083,3.093,3.066,3.071,262,0,0
2025.01.31 12:00,3.069,3.069,3.029,3.033,399,0,0
2025.01.31 13:00,3.034,3.045,3.007,3.016,662,0,0
2025.01.31 14:00,3.017,3.027,2.982,2.995,991,0,0
2025.01.31 15:00,2.996,3.035,2.984,3.005,1438,0,0
2025.01.31 16:00,3.007,3.068,2.998,3.068,1177,0,0
2025.01.31 17:00,3.067,3.074,3.031,3.046,1352,0,0
2025.01.31 18:00,3.046,3.056,3.018,3.044,1125,0,0
2025.01.31 19:00,3.041,3.071,3.04,3.061,921,0,0
2025.01.31 20:00,3.061,3.07,3.031,3.054,692,0,0
2025.01.31 21:00,3.051,3.072,3.04,3.06,401,0,0
