time,open,high,low,close,tick_volume,spread,real_volume
2025.01.21 14:01,3.806,3.806,3.79,3.792,53,0,0
2025.01.21 14:02,3.792,3.802,3.79,3.793,31,0,0
2025.01.21 14:03,3.794,3.803,3.793,3.793,35,0,0
2025.01.21 14:04,3.797,3.797,3.79,3.794,35,0,0
2025.01.21 14:05,3.793,3.794,3.787,3.79,24,0,0
2025.01.21 14:06,3.789,3.792,3.782,3.79,48,0,0
2025.01.21 14:07,3.792,3.795,3.784,3.789,28,0,0
2025.01.21 14:08,3.79,3.795,3.787,3.788,23,0,0
2025.01.21 14:09,3.788,3.79,3.775,3.779,48,0,0
2025.01.21 14:10,3.777,3.78,3.77,3.771,34,0,0
2025.01.21 14:11,3.773,3.781,3.769,3.774,35,0,0
2025.01.21 14:12,3.772,3.793,3.772,3.787,40,0,0
2025.01.21 14:13,3.787,3.794,3.785,3.791,39,0,0
2025.01.21 14:14,3.791,3.795,3.787,3.795,28,0,0
2025.01.21 14:15,3.789,3.793,3.788,3.788,12,0,0
2025.01.21 14:16,3.787,3.796,3.787,3.796,22,0,0
2025.01.21 14:17,3.795,3.796,3.787,3.794,19,0,0
2025.01.21 14:18,3.793,3.795,3.788,3.795,21,0,0
2025.01.21 14:19,3.794,3.8,3.79,3.795,25,0,0
2025.01.21 14:20,3.795,3.799,3.787,3.79,35,0,0
2025.01.21 14:21,3.79,3.814,3.79,3.804,38,0,0
2025.01.21 14:22,3.807,3.817,3.8,3.812,33,0,0
2025.01.21 14:23,3.816,3.818,3.809,3.812,28,0,0
2025.01.21 14:24,3.81,3.814,3.808,3.809,27,0,0
2025.01.21 14:25,3.809,3.814,3.804,3.804,22,0,0
2025.01.21 14:26,3.802,3.807,3.796,3.8,26,0,0
2025.01.21 14:27,3.8,3.816,3.799,3.811,28,0,0
2025.01.21 14:28,3.811,3.813,3.807,3.811,25,0,0
2025.01.21 14:29,3.81,3.815,3.808,3.809,25,0,0
2025.01.21 14:30,3.809,3.812,3.787,3.795,50,0,0
2025.01.21 14:31,3.793,3.804,3.793,3.798,30,0,0
2025.01.21 14:32,3.8,3.8,3.794,3.794,23,0,0
2025.01.21 14:33,3.797,3.8,3.793,3.796,21,0,0
2025.01.21 14:34,3.798,3.801,3.795,3.797,23,0,0
2025.01.21 14:35,3.8,3.806,3.796,3.803,29,0,0
2025.01.21 14:36,3.8,3.81,3.795,3.81,34,0,0
2025.01.21 14:37,3.807,3.814,3.803,3.811,33,0,0
2025.01.21 14:38,3.807,3.809,3.804,3.804,19,0,0
2025.01.21 14:39,3.805,3.805,3.799,3.799,24,0,0
2025.01.21 14:40,3.802,3.804,3.799,3.802,13,0,0
2025.01.21 14:41,3.799,3.804,3.796,3.802,17,0,0
2025.01.21 14:42,3.8,3.809,3.8,3.805,22,0,0
2025.01.21 14:43,3.806,3.807,3.802,3.804,14,0,0
2025.01.21 14:44,3.802,3.806,3.797,3.801,28,0,0
2025.01.21 14:45,3.803,3.809,3.787,3.806,43,0,0
2025.01.21 14:46,3.807,3.809,3.787,3.796,32,0,0
2025.01.21 14:47,3.8,3.807,3.8,3.8,27,0,0
2025.01.21 14:48,3.803,3.804,3.784,3.788,44,0,0
2025.01.21 14:49,3.79,3.792,3.773,3.78,72,0,0
2025.01.21 14:50,3.785,3.794,3.782,3.791,21,0,0
2025.01.21 14:51,3.79,3.792,3.782,3.787,35,0,0
2025.01.21 14:52,3.788,3.797,3.782,3.794,43,0,0
2025.01.21 14:53,3.794,3.798,3.788,3.788,27,0,0
2025.01.21 14:54,3.788,3.792,3.779,3.786,24,0,0
2025.01.21 14:55,3.787,3.792,3.785,3.788,23,0,0
2025.01.21 14:56,3.79,3.795,3.783,3.793,32,0,0
2025.01.21 14:57,3.79,3.797,3.79,3.791,32,0,0
2025.01.21 14:58,3.786,3.801,3.786,3.797,33,0,0
2025.01.21 14:59,3.8,3.8,3.792,3.792,26,0,0
2025.01.21 15:00,3.795,3.8,3.79,3.794,36,0,0
2025.01.21 15:01,3.791,3.797,3.784,3.787,41,0,0
2025.01.21 15:02,3.789,3.794,3.782,3.792,39,0,0
2025.01.21 15:03,3.79,3.795,3.783,3.788,38,0,0
2025.01.21 15:04,3.785,3.79,3.783,3.786,20,0,0
2025.01.21 15:05,3.79,3.795,3.786,3.792,26,0,0
2025.01.21 15:06,3.792,3.793,3.782,3.792,32,0,0
2025.01.21 15:07,3.793,3.797,3.789,3.794,31,0,0
2025.01.21 15:08,3.794,3.804,3.792,3.803,33,0,0
2025.01.21 15:09,3.799,3.804,3.794,3.794,40,0,0
2025.01.21 15:10,3.795,3.801,3.793,3.8,25,0,0
2025.01.21 15:11,3.797,3.803,3.797,3.8,27,0,0
2025.01.21 15:12,3.8,3.8,3.795,3.797,25,0,0
2025.01.21 15:13,3.794,3.796,3.79,3.791,31,0,0
2025.01.21 15:14,3.793,3.795,3.788,3.79,17,0,0
2025.01.21 15:15,3.792,3.799,3.787,3.793,30,0,0
2025.01.21 15:16,3.797,3.797,3.789,3.793,33,0,0
2025.01.21 15:17,3.793,3.799,3.792,3.797,35,0,0
2025.01.21 15:18,3.794,3.803,3.792,3.792,29,0,0
2025.01.21 15:19,3.795,3.802,3.79,3.802,37,0,0
2025.01.21 15:20,3.8,3.801,3.794,3.797,30,0,0
2025.01.21 15:21,3.796,3.809,3.796,3.803,38,0,0
2025.01.21 15:22,3.798,3.805,3.796,3.796,30,0,0
2025.01.21 15:23,3.799,3.802,3.792,3.794,33,0,0
2025.01.21 15:24,3.797,3.802,3.794,3.801,27,0,0
2025.01.21 15:25,3.798,3.81,3.798,3.805,29,0,0
2025.01.21 15:26,3.806,3.813,3.806,3.809,25,0,0
2025.01.21 15:27,3.809,3.813,3.807,3.808,25,0,0
2025.01.21 15:28,3.807,3.815,3.807,3.813,29,0,0
2025.01.21 15:29,3.813,3.816,3.808,3.809,31,0,0
2025.01.21 15:30,3.809,3.816,3.807,3.813,30,0,0
2025.01.21 15:31,3.811,3.82,3.81,3.813,29,0,0
2025.01.21 15:32,3.812,3.824,3.809,3.82,32,0,0
2025.01.21 15:33,3.822,3.827,3.82,3.82,35,0,0
2025.01.21 15:34,3.823,3.827,3.819,3.822,35,0,0
2025.01.21 15:35,3.823,3.826,3.82,3.822,30,0,0
2025.01.21 15:36,3.821,3.825,3.816,3.825,25,0,0
2025.01.21 15:37,3.826,3.827,3.822,3.827,24,0,0
