time,open,high,low,close,tick_volume,spread,real_volume
2024.12.19 09:00,3.159,3.16,3.153,3.158,48,0,0
2024.12.19 09:15,3.156,3.162,3.154,3.155,51,0,0
2024.12.19 09:30,3.16,3.163,3.153,3.157,51,0,0
2024.12.19 09:45,3.158,3.162,3.153,3.156,54,0,0
2024.12.19 10:00,3.156,3.163,3.152,3.161,91,0,0
2024.12.19 10:15,3.16,3.162,3.154,3.16,56,0,0
2024.12.19 10:30,3.16,3.163,3.154,3.159,77,0,0
2024.12.19 10:45,3.161,3.169,3.146,3.149,119,0,0
2024.12.19 11:00,3.151,3.156,3.139,3.146,154,0,0
2024.12.19 11:15,3.148,3.164,3.146,3.157,140,0,0
2024.12.19 11:30,3.158,3.163,3.15,3.154,82,0,0
2024.12.19 11:45,3.153,3.162,3.15,3.159,68,0,0
2024.12.19 12:00,3.161,3.169,3.155,3.166,104,0,0
2024.12.19 12:15,3.165,3.179,3.16,3.178,131,0,0
2024.12.19 12:30,3.179,3.191,3.175,3.189,117,0,0
2024.12.19 12:45,3.187,3.198,3.181,3.183,232,0,0
2024.12.19 13:00,3.188,3.191,3.174,3.177,127,0,0
2024.12.19 13:15,3.18,3.194,3.176,3.194,96,0,0
2024.12.19 13:30,3.194,3.211,3.191,3.21,190,0,0
2024.12.19 13:45,3.209,3.209,3.183,3.189,223,0,0
2024.12.19 14:00,3.186,3.227,3.186,3.225,401,0,0
2024.12.19 14:15,3.224,3.228,3.202,3.212,379,0,0
2024.12.19 14:30,3.207,3.21,3.182,3.198,453,0,0
2024.12.19 14:45,3.199,3.21,3.178,3.208,337,0,0
2024.12.19 15:00,3.205,3.219,3.202,3.209,364,0,0
2024.12.19 15:15,3.212,3.214,3.196,3.199,300,0,0
2024.12.19 15:30,3.2,3.209,3.184,3.2,371,0,0
2024.12.19 15:45,3.197,3.209,3.189,3.198,241,0,0
2024.12.19 16:00,3.195,3.206,3.184,3.2,306,0,0
2024.12.19 16:15,3.197,3.211,3.193,3.195,320,0,0
2024.12.19 16:30,3.21,3.234,3.188,3.227,646,0,0
2024.12.19 16:45,3.227,3.233,3.207,3.207,408,0,0
2024.12.19 17:00,3.208,3.234,3.201,3.223,373,0,0
2024.12.19 17:15,3.223,3.247,3.221,3.228,385,0,0
2024.12.19 17:30,3.229,3.254,3.221,3.252,358,0,0
2024.12.19 17:45,3.249,3.263,3.248,3.26,357,0,0
2024.12.19 18:00,3.261,3.265,3.244,3.253,338,0,0
2024.12.19 18:15,3.253,3.261,3.243,3.251,259,0,0
2024.12.19 18:30,3.252,3.265,3.247,3.257,285,0,0
2024.12.19 18:45,3.255,3.267,3.232,3.237,284,0,0
2024.12.19 19:00,3.239,3.246,3.201,3.217,586,0,0
2024.12.19 19:15,3.212,3.236,3.198,3.214,491,0,0
2024.12.19 19:30,3.21,3.241,3.208,3.238,344,0,0
2024.12.19 19:45,3.235,3.255,3.234,3.25,270,0,0
2024.12.19 20:00,3.254,3.262,3.235,3.26,300,0,0
2024.12.19 20:15,3.258,3.294,3.255,3.286,478,0,0
2024.12.19 20:30,3.288,3.299,3.278,3.282,268,0,0
2024.12.19 20:45,3.285,3.295,3.28,3.291,223,0,0
2024.12.19 21:00,3.294,3.318,3.291,3.315,224,0,0
2024.12.19 21:15,3.318,3.322,3.299,3.319,217,0,0
2024.12.19 21:30,3.317,3.322,3.313,3.318,195,0,0
2024.12.19 21:45,3.317,3.328,3.314,3.322,182,0,0
2024.12.19 22:00,3.319,3.334,3.318,3.319,148,0,0
2024.12.19 22:15,3.317,3.325,3.314,3.317,109,0,0
2024.12.19 22:30,3.319,3.322,3.313,3.321,84,0,0
2024.12.19 22:45,3.316,3.326,3.314,3.318,89,0,0
2024.12.20 00:00,3.322,3.323,3.301,3.311,106,0,0
2024.12.20 00:15,3.312,3.316,3.309,3.315,62,0,0
2024.12.20 00:30,3.309,3.314,3.305,3.305,38,0,0
2024.12.20 00:45,3.305,3.31,3.304,3.305,31,0,0
2024.12.20 01:00,3.304,3.308,3.287,3.287,152,0,0
2024.12.20 01:15,3.29,3.295,3.287,3.291,76,0,0
2024.12.20 01:30,3.292,3.298,3.289,3.291,40,0,0
2024.12.20 01:45,3.295,3.308,3.292,3.301,75,0,0
2024.12.20 02:00,3.302,3.321,3.3,3.317,114,0,0
2024.12.20 02:15,3.316,3.333,3.312,3.329,87,0,0
2024.12.20 02:30,3.329,3.335,3.327,3.332,69,0,0
2024.12.20 02:45,3.331,3.35,3.328,3.348,123,0,0
2024.12.20 03:00,3.346,3.352,3.343,3.343,73,0,0
2024.12.20 03:15,3.347,3.347,3.326,3.327,111,0,0
2024.12.20 03:30,3.329,3.339,3.325,3.33,57,0,0
2024.12.20 03:45,3.327,3.337,3.327,3.334,38,0,0
2024.12.20 04:00,3.33,3.334,3.326,3.33,36,0,0
2024.12.20 04:15,3.329,3.33,3.321,3.327,50,0,0
2024.12.20 04:30,3.323,3.335,3.315,3.335,95,0,0
2024.12.20 04:45,3.332,3.342,3.329,3.336,136,0,0
2024.12.20 05:00,3.332,3.34,3.327,3.333,94,0,0
2024.12.20 05:15,3.334,3.336,3.323,3.328,43,0,0
2024.12.20 05:30,3.332,3.346,3.329,3.341,92,0,0
2024.12.20 05:45,3.34,3.343,3.331,3.331,56,0,0
2024.12.20 06:00,3.332,3.341,3.324,3.325,55,0,0
2024.12.20 06:15,3.328,3.332,3.323,3.33,69,0,0
2024.12.20 06:30,3.33,3.332,3.322,3.325,56,0,0
2024.12.20 06:45,3.326,3.326,3.309,3.314,118,0,0
2024.12.20 07:00,3.315,3.32,3.298,3.301,114,0,0
2024.12.20 07:15,3.3,3.311,3.293,3.31,148,0,0
2024.12.20 07:30,3.307,3.336,3.303,3.323,174,0,0
2024.12.20 07:45,3.324,3.324,3.307,3.308,99,0,0
2024.12.20 08:00,3.309,3.328,3.306,3.311,165,0,0
2024.12.20 08:15,3.312,3.325,3.31,3.325,109,0,0
2024.12.20 08:30,3.323,3.327,3.304,3.311,113,0,0
2024.12.20 08:45,3.31,3.317,3.306,3.316,83,0,0
2024.12.20 09:00,3.316,3.324,3.313,3.318,74,0,0
2024.12.20 09:15,3.321,3.322,3.312,3.32,69,0,0
2024.12.20 09:30,3.32,3.327,3.317,3.326,80,0,0
2024.12.20 09:45,3.327,3.327,3.313,3.324,115,0,0
2024.12.20 10:00,3.322,3.328,3.319,3.325,86,0,0
2024.12.20 10:15,3.326,3.337,3.321,3.333,83,0,0
2024.12.20 10:30,3.334,3.342,3.329,3.342,126,0,0
2024.12.20 10:45,3.338,3.347,3.325,3.344,150,0,0
2024.12.20 11:00,3.344,3.349,3.337,3.345,84,0,0
2024.12.20 11:15,3.347,3.351,3.341,3.343,110,0,0
2024.12.20 11:30,3.344,3.351,3.337,3.347,109,0,0
2024.12.20 11:45,3.349,3.366,3.341,3.362,151,0,0
2024.12.20 12:00,3.361,3.373,3.359,3.373,120,0,0
2024.12.20 12:15,3.369,3.373,3.351,3.358,208,0,0
2024.12.20 12:30,3.355,3.378,3.355,3.371,134,0,0
2024.12.20 12:45,3.37,3.37,3.347,3.35,205,0,0
2024.12.20 13:00,3.353,3.372,3.347,3.357,236,0,0
2024.12.20 13:15,3.359,3.365,3.353,3.354,124,0,0
2024.12.20 13:30,3.352,3.371,3.343,3.345,320,0,0
2024.12.20 13:45,3.347,3.347,3.326,3.341,306,0,0
2024.12.20 14:00,3.338,3.374,3.338,3.372,338,0,0
2024.12.20 14:15,3.372,3.387,3.357,3.373,402,0,0
2024.12.20 14:30,3.37,3.381,3.337,3.347,461,0,0
2024.12.20 14:45,3.348,3.348,3.307,3.316,502,0,0
2024.12.20 15:00,3.313,3.34,3.31,3.337,499,0,0
2024.12.20 15:15,3.336,3.357,3.296,3.297,524,0,0
2024.12.20 15:30,3.301,3.306,3.257,3.282,859,0,0
2024.12.20 15:45,3.282,3.301,3.276,3.288,475,0,0
2024.12.20 16:00,3.285,3.32,3.285,3.312,511,0,0
2024.12.20 16:15,3.315,3.319,3.292,3.306,404,0,0
2024.12.20 16:30,3.309,3.316,3.298,3.312,263,0,0
2024.12.20 16:45,3.31,3.326,3.296,3.315,387,0,0
2024.12.20 17:00,3.318,3.337,3.311,3.319,378,0,0
2024.12.20 17:15,3.319,3.336,3.312,3.329,373,0,0
2024.12.20 17:30,3.33,3.356,3.322,3.347,378,0,0
2024.12.20 17:45,3.348,3.368,3.343,3.367,338,0,0
2024.12.20 18:00,3.362,3.375,3.344,3.354,374,0,0
2024.12.20 18:15,3.355,3.367,3.349,3.359,335,0,0
2024.12.20 18:30,3.36,3.383,3.339,3.375,471,0,0
2024.12.20 18:45,3.376,3.417,3.372,3.402,529,0,0
2024.12.20 19:00,3.407,3.425,3.386,3.422,520,0,0
2024.12.20 19:15,3.421,3.452,3.41,3.445,610,0,0
2024.12.20 19:30,3.447,3.448,3.399,3.402,659,0,0
2024.12.20 19:45,3.405,3.418,3.397,3.407,463,0,0
2024.12.20 20:00,3.408,3.41,3.389,3.407,463,0,0
2024.12.20 20:15,3.405,3.419,3.395,3.407,456,0,0
2024.12.20 20:30,3.408,3.41,3.391,3.392,218,0,0
2024.12.20 20:45,3.396,3.396,3.383,3.39,148,0,0
2024.12.20 21:00,3.389,3.398,3.384,3.391,176,0,0
2024.12.20 21:15,3.393,3.407,3.392,3.402,123,0,0
2024.12.20 21:30,3.401,3.413,3.401,3.41,77,0,0
2024.12.20 21:45,3.411,3.425,3.411,3.422,135,0,0
2024.12.23 00:00,3.483,3.536,3.466,3.513,479,0,0
2024.12.23 00:15,3.511,3.513,3.482,3.483,192,0,0
2024.12.23 00:30,3.487,3.493,3.478,3.48,133,0,0
2024.12.23 00:45,3.485,3.49,3.479,3.48,78,0,0
2024.12.23 01:00,3.484,3.485,3.466,3.473,151,0,0
2024.12.23 01:15,3.473,3.48,3.469,3.474,79,0,0
2024.12.23 01:30,3.474,3.479,3.468,3.471,43,0,0
2024.12.23 01:45,3.473,3.474,3.467,3.469,44,0,0
2024.12.23 02:00,3.471,3.48,3.469,3.477,75,0,0
2024.12.23 02:15,3.476,3.485,3.475,3.48,35,0,0
2024.12.23 02:30,3.485,3.493,3.48,3.492,63,0,0
2024.12.23 02:45,3.489,3.491,3.482,3.487,45,0,0
2024.12.23 03:00,3.487,3.487,3.481,3.485,25,0,0
2024.12.23 03:15,3.481,3.485,3.475,3.483,33,0,0
2024.12.23 03:30,3.481,3.484,3.479,3.481,32,0,0
2024.12.23 03:45,3.48,3.484,3.478,3.478,30,0,0
2024.12.23 04:00,3.481,3.483,3.469,3.473,44,0,0
2024.12.23 04:15,3.47,3.488,3.47,3.484,76,0,0
2024.12.23 04:30,3.48,3.49,3.479,3.485,66,0,0
2024.12.23 04:45,3.488,3.491,3.483,3.486,45,0,0
2024.12.23 05:00,3.486,3.492,3.482,3.488,75,0,0
2024.12.23 05:15,3.491,3.5,3.487,3.498,85,0,0
2024.12.23 05:30,3.495,3.505,3.495,3.497,47,0,0
2024.12.23 05:45,3.497,3.506,3.497,3.502,40,0,0
2024.12.23 06:00,3.506,3.506,3.5,3.505,41,0,0
2024.12.23 06:15,3.505,3.515,3.502,3.508,87,0,0
2024.12.23 06:30,3.505,3.512,3.503,3.505,44,0,0
2024.12.23 06:45,3.506,3.507,3.495,3.499,64,0,0
2024.12.23 07:00,3.5,3.503,3.488,3.49,118,0,0
2024.12.23 07:15,3.49,3.502,3.49,3.502,75,0,0
2024.12.23 07:30,3.499,3.504,3.49,3.491,60,0,0
2024.12.23 07:45,3.495,3.503,3.49,3.496,69,0,0
2024.12.23 08:00,3.495,3.495,3.485,3.488,102,0,0
2024.12.23 08:15,3.491,3.496,3.486,3.492,55,0,0
2024.12.23 08:30,3.489,3.497,3.487,3.494,56,0,0
2024.12.23 08:45,3.497,3.499,3.49,3.495,50,0,0
