time,open,high,low,close,tick_volume,spread,real_volume
2017.05.24 00:00,527.58,528.33,526.08,526.98,9070,0,0
2017.05.25 00:00,528.48,528.98,524.18,527.13,11604,0,0
2017.05.26 00:00,526.43,527.48,524.18,527.28,11399,0,0
2017.05.29 00:00,527.68,527.68,525.53,526.41,4164,0,0
2017.05.30 00:00,526.28,526.73,523.28,524.68,11449,0,0
2017.05.31 00:00,524.39,526.83,522.86,523.03,13539,0,0
2017.06.01 00:00,524.28,528.18,522.78,527.88,11868,0,0
2017.06.02 00:00,529.68,530.98,525.13,526.65,13204,0,0
2017.06.05 00:00,526.28,526.88,523.33,524.45,4582,0,0
2017.06.06 00:00,523.53,523.68,520.18,521.33,12013,0,0
2017.06.07 00:00,521.43,527.13,520.23,523.58,12690,0,0
2017.06.08 00:00,523.68,525.68,522.63,524.78,14015,0,0
2017.06.09 00:00,523.93,527.53,522.93,524.94,16391,0,0
2017.06.12 00:00,524.88,525.33,519.78,521.28,15326,0,0
2017.06.13 00:00,521.93,524.58,521.68,524.18,10225,0,0
2017.06.14 00:00,523.93,527.88,521.13,522.93,14260,0,0
2017.06.15 00:00,521.63,521.83,515.58,518.78,18002,0,0
2017.06.16 00:00,518.63,521.33,517.53,520.63,12901,0,0
2017.06.19 00:00,522.03,526.98,522.02,526.83,10562,0,0
2017.06.20 00:00,526.94,528.38,518.48,519.23,11092,0,0
2017.06.21 00:00,518.58,520.18,514.48,518.41,14757,0,0
2017.06.22 00:00,519.18,519.98,515.03,517.48,11325,0,0
2017.06.23 00:00,518.08,518.88,515.23,518.2,12845,0,0
2017.06.26 00:00,519.18,523.43,519.18,520.31,12167,0,0
2017.06.27 00:00,520.18,520.88,514.68,514.73,17418,0,0
2017.06.28 00:00,514.63,517.48,511.23,516.5,18448,0,0
2017.06.29 00:00,518.13,518.78,504.63,506.72,22425,0,0
2017.06.30 00:00,507.43,511.53,505.63,508.88,19333,0,0
2017.07.03 00:00,510.28,513.03,508.09,511.55,11280,0,0
2017.07.04 00:00,510.98,513.48,510.03,511.95,8449,0,0
2017.07.05 00:00,511.79,512.53,509.68,511.9,16239,0,0
2017.07.06 00:00,511.68,511.73,505.93,508.36,17032,0,0
2017.07.07 00:00,508.78,510.88,507.73,510.32,13471,0,0
2017.07.10 00:00,511.54,512.83,510.38,512.43,10680,0,0
2017.07.11 00:00,512.98,513.43,509.98,512.12,11424,0,0
2017.07.12 00:00,511.88,518.08,511.23,517.28,12614,0,0
2017.07.13 00:00,517.48,519.98,516.48,519.45,10710,0,0
2017.07.14 00:00,519.28,522.93,518.18,522.38,10787,0,0
2017.07.17 00:00,522.68,523.13,520.43,521.03,11398,0,0
2017.07.18 00:00,520.58,521.73,517.03,519.13,14554,0,0
2017.07.19 00:00,520.03,525.53,519.98,525.48,12911,0,0
2017.07.20 00:00,525.58,529.73,524.43,525.88,16172,0,0
2017.07.21 00:00,522.33,523.48,517.18,518.98,17289,0,0
2017.07.24 00:00,518.61,519.98,515.48,519.88,13959,0,0
2017.07.25 00:00,520.1,522.83,518.63,521.27,13270,0,0
2017.07.26 00:00,520.98,524.58,520.78,522.38,12186,0,0
2017.07.27 00:00,522.99,527.08,522.43,524.73,16126,0,0
2017.07.28 00:00,523.63,524.68,520.48,521.95,13660,0,0
2017.07.31 00:00,521.36,524.13,520.83,521.28,10857,0,0
2017.08.01 00:00,522.23,525.53,521.18,524.03,11348,0,0
2017.08.02 00:00,524.53,525.58,520.68,522.73,13088,0,0
2017.08.03 00:00,522.23,523.88,519.08,522.63,13402,0,0
2017.08.04 00:00,522.83,528.13,521.53,527.33,12085,0,0
2017.08.07 00:00,527.68,530.03,527.38,529.78,8282,0,0
2017.08.08 00:00,529.13,531.58,528.48,528.98,10295,0,0
2017.08.09 00:00,527.42,529.28,525.48,526.93,17211,0,0
2017.08.10 00:00,525.58,526.93,519.88,519.88,18871,0,0
2017.08.11 00:00,519.57,520.78,515.53,516.29,18558,0,0
2017.08.14 00:00,518.96,521.43,518.23,520.43,12035,0,0
2017.08.15 00:00,521.98,522.93,520.33,522.63,12009,0,0
2017.08.16 00:00,522.19,526.43,522.19,524.03,12813,0,0
2017.08.17 00:00,524.03,525.73,519.87,519.91,19684,0,0
2017.08.18 00:00,520.63,520.78,516.73,518.51,18222,0,0
2017.08.21 00:00,518.48,518.78,514.83,515.91,14974,0,0
2017.08.22 00:00,517.58,522.33,517.08,522.18,11172,0,0
2017.08.23 00:00,521.63,522.33,517.78,518.73,13611,0,0
2017.08.24 00:00,518.53,520.48,518.18,518.28,12986,0,0
2017.08.25 00:00,519.18,519.63,516.28,516.48,13344,0,0
2017.08.28 00:00,516.03,516.28,512.18,513.54,7659,0,0
2017.08.29 00:00,511.33,512.18,505.33,511.94,17460,0,0
2017.08.30 00:00,512.23,514.48,510.78,513.86,10733,0,0
2017.08.31 00:00,514.67,517.18,513.93,516.71,11523,0,0
2017.09.01 00:00,517.18,519.23,516.56,519.08,11759,0,0
2017.09.04 00:00,516.63,517.53,514.38,516.63,8530,0,0
2017.09.05 00:00,516.33,518.53,511.63,512.65,15783,0,0
2017.09.06 00:00,512.88,518.43,512.38,517.6,15787,0,0
2017.09.07 00:00,516.92,519.78,515.53,518.93,16826,0,0
2017.09.08 00:00,516.83,519.28,516.33,517.75,13723,0,0
2017.09.11 00:00,521.03,525.23,521.03,525.23,10139,0,0
2017.09.12 00:00,525.18,527.18,524.93,526.28,11185,0,0
2017.09.13 00:00,525.98,529.53,525.38,528.38,10664,0,0
2017.09.14 00:00,527.73,529.98,527.46,529.09,12335,0,0
2017.09.15 00:00,528.29,528.43,525.63,526.73,12145,0,0
2017.09.18 00:00,528.33,529.58,527.63,528.68,9127,0,0
2017.09.19 00:00,528.83,528.93,527.48,527.88,8581,0,0
2017.09.20 00:00,528.04,530.63,527.43,530.58,8693,0,0
2017.09.21 00:00,530.03,530.33,527.58,527.97,9183,0,0
2017.09.22 00:00,527.01,528.91,526.41,527.67,10283,0,0
2017.09.25 00:00,527.22,529.37,526.41,526.86,11337,0,0
2017.09.26 00:00,526.72,529.31,526.66,527.92,10448,0,0
2017.09.27 00:00,528.77,532.22,528.72,531.62,11095,0,0
2017.09.28 00:00,531.42,533.92,530.96,533.52,8858,0,0
2017.09.29 00:00,533.62,537.22,533.55,537.04,8355,0,0
2017.10.02 00:00,538.43,541.37,537.32,540.77,7851,0,0
2017.10.03 00:00,541.82,542.67,540.62,542.67,4218,0,0
2017.10.04 00:00,542.42,542.47,540.02,541.07,7694,0,0
2017.10.05 00:00,541.42,543.56,540.71,542.92,7847,0,0
2017.10.06 00:00,542.76,543.07,539.07,540.08,8517,0,0
2017.10.09 00:00,540.82,542.66,539.17,539.17,6443,0,0
2017.10.10 00:00,540.18,542.27,539.67,542.07,9424,0,0
2017.10.11 00:00,541.97,542.32,539.56,541.57,7094,0,0
2017.10.12 00:00,541.57,543.52,540.96,542.62,5833,0,0
2017.10.13 00:00,543.48,546.96,543.06,546.39,8340,0,0
2017.10.16 00:00,547.12,547.76,545.77,547.32,7221,0,0
2017.10.17 00:00,547.32,547.61,545.97,546.72,7423,0,0
2017.10.18 00:00,547.27,549.11,546.02,547.54,9222,0,0
2017.10.19 00:00,547.51,547.57,541.41,543.77,14743,0,0
2017.10.20 00:00,542.72,544.56,541.91,542.52,8416,0,0
2017.10.23 00:00,542.87,545.43,541.76,543.12,7798,0,0
2017.10.24 00:00,543.57,544.81,541.77,542.07,9565,0,0
2017.10.25 00:00,541.52,543.36,537.07,539.22,15478,0,0
2017.10.26 00:00,539.57,547.61,539.57,546.92,16630,0,0
2017.10.27 00:00,547.51,549.37,546.07,547.72,14028,0,0
2017.10.30 00:00,547.41,548.11,546.51,546.8,10831,0,0
2017.10.31 00:00,547.11,552.22,547.11,551.92,5513,0,0
