time,open,high,low,close,tick_volume,spread,real_volume
2024.10.22 16:00,896.57,898.04,896.24,896.67,1749,0,0
2024.10.22 17:00,896.64,897.04,895.92,896.34,1047,0,0
2024.10.22 18:00,896.27,896.31,894.84,895.92,929,0,0
2024.10.22 19:00,895.94,897.09,895.72,896.89,383,0,0
2024.10.22 20:00,896.87,897.2,896.3,896.58,301,0,0
2024.10.22 21:00,896.53,897.68,896.48,897.0,371,0,0
2024.10.23 08:00,897.39,897.49,893.97,894.22,294,0,0
2024.10.23 09:00,894.34,899.01,893.15,895.69,1706,0,0
2024.10.23 10:00,895.67,896.49,893.47,893.72,1422,0,0
2024.10.23 11:00,893.66,895.51,893.59,894.24,1273,0,0
2024.10.23 12:00,894.26,894.42,891.79,891.82,1254,0,0
2024.10.23 13:00,891.84,893.52,890.34,891.02,1452,0,0
2024.10.23 14:00,891.06,891.41,889.11,889.63,1217,0,0
2024.10.23 15:00,889.58,891.63,889.03,890.98,1692,0,0
2024.10.23 16:00,890.96,891.5,889.85,890.91,1732,0,0
2024.10.23 17:00,890.88,891.1,888.21,890.48,1587,0,0
2024.10.23 18:00,890.51,890.68,889.08,889.46,907,0,0
2024.10.23 19:00,889.46,889.48,887.06,887.61,1012,0,0
2024.10.23 20:00,887.61,888.17,885.34,887.82,770,0,0
2024.10.23 21:00,887.84,889.12,887.32,888.17,985,0,0
2024.10.24 08:00,888.65,895.18,888.49,894.01,636,0,0
2024.10.24 09:00,893.86,899.83,893.18,899.73,1778,0,0
2024.10.24 10:00,899.71,900.65,898.28,899.06,1525,0,0
2024.10.24 11:00,899.11,900.33,898.55,898.98,1141,0,0
2024.10.24 12:00,898.96,899.75,898.46,899.08,1089,0,0
2024.10.24 13:00,899.06,900.33,898.71,899.73,968,0,0
2024.10.24 14:00,899.78,899.78,898.48,898.88,1074,0,0
2024.10.24 15:00,898.91,899.61,897.13,897.56,1716,0,0
2024.10.24 16:00,897.58,897.73,895.4,895.63,1812,0,0
2024.10.24 17:00,895.68,896.2,892.68,893.61,1260,0,0
2024.10.24 18:00,893.58,894.26,891.96,893.76,809,0,0
2024.10.24 19:00,893.78,894.48,893.31,893.43,813,0,0
2024.10.24 20:00,893.41,894.04,892.22,893.09,659,0,0
2024.10.24 21:00,893.02,894.61,892.52,893.94,621,0,0
2024.10.25 08:00,893.6,894.58,892.68,893.21,267,0,0
2024.10.25 09:00,893.31,893.88,891.15,893.08,1826,0,0
2024.10.25 10:00,893.18,893.7,890.6,893.5,1415,0,0
2024.10.25 11:00,893.46,895.16,893.43,894.63,1242,0,0
2024.10.25 12:00,894.56,895.13,893.56,893.68,1039,0,0
2024.10.25 13:00,893.66,894.26,892.88,894.0,1028,0,0
2024.10.25 14:00,893.93,895.13,893.91,894.93,839,0,0
2024.10.25 15:00,894.95,896.63,894.36,896.08,1444,0,0
2024.10.25 16:00,896.08,898.88,896.0,897.65,1612,0,0
2024.10.25 17:00,897.78,898.36,895.96,896.48,1229,0,0
2024.10.25 18:00,896.43,898.08,896.03,897.73,811,0,0
2024.10.25 19:00,897.83,897.83,893.96,894.63,1047,0,0
2024.10.25 20:00,894.68,896.19,893.97,896.07,904,0,0
2024.10.25 21:00,896.04,896.49,895.02,895.74,931,0,0
2024.10.28 08:00,898.64,899.58,896.06,896.53,754,0,0
2024.10.28 09:00,896.43,898.21,893.56,895.43,2191,0,0
2024.10.28 10:00,895.41,895.7,892.01,893.58,1773,0,0
2024.10.28 11:00,893.53,894.15,891.46,891.95,1638,0,0
2024.10.28 12:00,891.91,891.91,890.13,890.98,1689,0,0
2024.10.28 13:00,891.06,893.35,889.96,893.05,1466,0,0
