time,open,high,low,close,tick_volume,spread,real_volume
2017.06.16 00:00,46.81,47.6,46.81,47.32,5413,0,0
2017.06.19 00:00,47.24,47.75,46.77,46.86,5484,0,0
2017.06.20 00:00,46.99,47.22,45.44,45.79,7756,0,0
2017.06.21 00:00,45.95,46.6,44.36,44.76,10927,0,0
2017.06.22 00:00,44.91,45.78,44.54,45.25,8172,0,0
2017.06.23 00:00,45.53,45.95,45.24,45.86,6749,0,0
2017.06.26 00:00,45.95,46.4,45.26,46.16,5910,0,0
2017.06.27 00:00,46.08,47.28,45.99,46.45,6317,0,0
2017.06.28 00:00,46.55,47.68,46.53,47.65,7417,0,0
2017.06.29 00:00,47.58,48.25,47.34,47.52,6639,0,0
2017.06.30 00:00,47.63,48.93,47.62,48.88,5335,0,0
2017.07.03 00:00,48.89,49.7,48.53,49.62,4792,0,0
2017.07.04 00:00,49.57,49.89,49.28,49.66,3596,0,0
2017.07.05 00:00,49.72,49.82,47.47,48.24,9728,0,0
2017.07.06 00:00,48.25,49.17,47.77,47.88,9674,0,0
2017.07.07 00:00,47.62,47.69,46.28,46.77,9917,0,0
2017.07.10 00:00,46.95,47.36,46.11,47.03,8396,0,0
2017.07.11 00:00,47.0,48.2,46.29,48.17,8920,0,0
2017.07.12 00:00,48.16,48.74,47.34,47.68,10252,0,0
2017.07.13 00:00,47.59,48.51,47.17,48.41,8173,0,0
2017.07.14 00:00,48.39,49.05,48.15,48.99,8154,0,0
2017.07.17 00:00,48.99,49.24,48.3,48.36,7654,0,0
2017.07.18 00:00,48.46,49.4,48.23,48.7,8328,0,0
2017.07.19 00:00,48.63,49.8,48.58,49.64,7084,0,0
2017.07.20 00:00,49.65,50.18,49.19,49.31,7493,0,0
2017.07.21 00:00,49.58,49.84,48.07,48.21,8667,0,0
2017.07.24 00:00,48.26,48.99,47.95,48.93,8447,0,0
2017.07.25 00:00,48.85,51.04,48.83,50.94,6742,0,0
2017.07.26 00:00,50.75,51.18,50.23,51.02,7827,0,0
2017.07.27 00:00,50.97,51.66,50.58,51.61,8314,0,0
2017.07.28 00:00,51.56,52.29,51.33,52.16,6145,0,0
2017.07.31 00:00,52.31,52.89,51.78,52.67,7910,0,0
2017.08.01 00:00,52.68,52.92,50.88,51.43,8444,0,0
2017.08.02 00:00,51.48,52.42,51.18,52.33,9176,0,0
2017.08.03 00:00,52.22,52.87,51.76,51.91,8244,0,0
2017.08.04 00:00,52.01,52.52,51.43,52.31,8180,0,0
2017.08.07 00:00,52.38,52.5,51.36,52.24,8479,0,0
2017.08.08 00:00,52.23,52.73,51.82,51.86,8305,0,0
2017.08.09 00:00,51.98,52.82,51.83,52.8,7688,0,0
2017.08.10 00:00,52.75,53.63,51.66,51.85,10704,0,0
2017.08.11 00:00,51.98,52.26,51.3,52.02,8938,0,0
2017.08.14 00:00,52.09,52.37,50.57,50.64,8577,0,0
2017.08.15 00:00,50.65,51.09,50.03,50.96,7658,0,0
2017.08.16 00:00,50.99,51.36,50.15,50.31,7968,0,0
2017.08.17 00:00,50.36,51.11,50.0,50.82,7264,0,0
2017.08.18 00:00,50.85,52.95,50.79,52.82,8537,0,0
2017.08.21 00:00,52.72,52.81,51.29,51.65,8843,0,0
2017.08.22 00:00,51.78,52.26,51.39,51.58,8982,0,0
2017.08.23 00:00,51.57,52.61,51.45,52.52,7498,0,0
2017.08.24 00:00,52.19,52.37,51.27,51.78,8393,0,0
2017.08.25 00:00,51.92,52.26,51.52,51.87,9223,0,0
2017.08.28 00:00,52.25,52.31,51.07,51.58,8513,0,0
2017.08.29 00:00,51.59,51.73,50.98,51.58,9993,0,0
2017.08.30 00:00,51.57,51.67,50.51,50.62,10331,0,0
2017.08.31 00:00,50.58,52.89,50.53,52.81,10315,0,0
2017.09.01 00:00,52.83,52.94,52.24,52.75,8887,0,0
2017.09.04 00:00,52.34,52.78,51.98,52.19,4360,0,0
2017.09.05 00:00,52.23,53.64,52.11,53.2,6875,0,0
2017.09.06 00:00,53.14,54.28,53.08,54.08,7800,0,0
2017.09.07 00:00,54.1,54.65,53.89,54.49,9166,0,0
2017.09.08 00:00,54.56,54.85,53.57,53.7,7843,0,0
2017.09.11 00:00,53.98,54.12,53.04,53.87,8308,0,0
2017.09.12 00:00,53.8,54.44,53.42,54.27,7805,0,0
2017.09.13 00:00,54.14,55.2,54.03,55.11,7153,0,0
2017.09.14 00:00,54.98,55.98,54.92,55.24,6625,0,0
2017.09.15 00:00,55.28,55.84,54.86,55.56,6701,0,0
2017.09.18 00:00,55.51,55.94,54.82,55.44,6859,0,0
2017.09.19 00:00,55.43,55.88,54.88,55.36,6683,0,0
2017.09.20 00:00,55.32,56.47,55.26,56.24,7563,0,0
2017.09.21 00:00,56.15,56.52,55.76,56.5,6808,0,0
2017.09.22 00:00,56.14,56.46,55.88,56.34,5429,0,0
2017.09.25 00:00,56.43,58.63,56.23,58.57,6607,0,0
2017.09.26 00:00,58.5,58.86,57.22,58.04,9043,0,0
2017.09.27 00:00,58.07,58.33,57.25,57.33,8578,0,0
2017.09.28 00:00,57.37,58.24,56.56,57.25,9215,0,0
2017.09.29 00:00,57.26,57.43,56.43,56.68,7351,0,0
2017.10.02 00:00,56.71,56.73,55.5,56.07,6330,0,0
2017.10.03 00:00,56.03,56.39,55.69,55.71,5910,0,0
2017.10.04 00:00,55.69,56.19,55.38,55.76,6844,0,0
2017.10.05 00:00,55.72,57.23,55.69,56.97,6673,0,0
