time,open,high,low,close,tick_volume,spread,real_volume
2025.01.07 08:05,76.28,76.29,76.03,76.11,755,0,0
2025.01.07 09:05,76.11,76.27,75.9,76.0,1223,0,0
2025.01.07 10:05,76.01,76.49,75.99,76.49,1383,0,0
2025.01.07 11:05,76.48,76.79,76.48,76.78,1019,0,0
2025.01.07 12:05,76.77,77.06,76.77,77.05,970,0,0
2025.01.07 13:05,77.04,77.07,76.83,76.91,948,0,0
2025.01.07 14:05,76.91,76.97,76.71,76.79,1621,0,0
2025.01.07 15:05,76.79,77.12,76.65,77.0,2035,0,0
2025.01.07 16:05,76.99,77.08,76.84,77.02,1858,0,0
2025.01.07 17:05,77.02,77.16,76.6,76.9,2125,0,0
2025.01.07 18:05,76.91,77.13,76.87,77.08,1143,0,0
2025.01.07 19:05,77.08,77.26,77.01,77.07,991,0,0
2025.01.07 20:05,77.06,77.23,76.94,77.16,872,0,0
2025.01.07 21:05,77.15,77.15,77.0,77.03,449,0,0
2025.01.07 22:05,77.05,77.19,76.98,77.15,436,0,0
2025.01.08 02:05,77.36,77.46,77.27,77.38,742,0,0
2025.01.08 03:05,77.37,77.39,77.21,77.26,456,0,0
2025.01.08 04:05,77.26,77.4,77.22,77.26,405,0,0
2025.01.08 05:05,77.25,77.37,77.25,77.33,140,0,0
2025.01.08 06:05,77.33,77.59,77.33,77.57,355,0,0
2025.01.08 07:05,77.58,77.62,77.36,77.38,502,0,0
2025.01.08 08:05,77.39,77.56,77.29,77.51,632,0,0
2025.01.08 09:05,77.51,77.87,77.49,77.81,1384,0,0
2025.01.08 10:05,77.8,77.84,77.59,77.8,1087,0,0
2025.01.08 11:05,77.79,77.79,76.92,76.92,1294,0,0
2025.01.08 12:05,76.92,77.37,76.84,77.32,1565,0,0
2025.01.08 13:05,77.33,77.51,77.24,77.5,1069,0,0
2025.01.08 14:05,77.49,77.49,77.06,77.3,1798,0,0
2025.01.08 15:05,77.29,77.32,76.96,77.26,2208,0,0
2025.01.08 16:05,77.28,77.28,76.63,76.67,2588,0,0
2025.01.08 17:05,76.68,76.68,76.03,76.2,2744,0,0
2025.01.08 18:05,76.19,76.26,76.02,76.15,1432,0,0
2025.01.08 19:05,76.14,76.2,76.02,76.09,1161,0,0
2025.01.08 20:05,76.1,76.3,76.07,76.29,1133,0,0
2025.01.08 21:05,76.3,76.31,76.14,76.17,546,0,0
2025.01.08 22:05,76.16,76.2,76.14,76.16,308,0,0
2025.01.09 02:05,75.82,75.93,75.66,75.84,1009,0,0
2025.01.09 03:05,75.83,75.98,75.76,75.98,607,0,0
2025.01.09 04:05,75.98,76.12,75.98,76.06,452,0,0
2025.01.09 05:05,76.07,76.09,76.01,76.08,217,0,0
2025.01.09 06:05,76.08,76.23,75.96,76.2,587,0,0
2025.01.09 07:05,76.21,76.32,76.13,76.31,434,0,0
2025.01.09 08:05,76.31,76.34,75.97,76.04,731,0,0
2025.01.09 09:05,76.03,76.34,75.98,76.03,1250,0,0
2025.01.09 10:05,76.04,76.2,75.89,76.1,1082,0,0
2025.01.09 11:05,76.09,76.3,76.02,76.28,970,0,0
2025.01.09 12:05,76.29,76.4,76.27,76.4,738,0,0
2025.01.09 13:05,76.41,76.61,76.35,76.54,953,0,0
2025.01.09 14:05,76.54,76.61,76.33,76.55,1328,0,0
2025.01.09 15:05,76.53,76.73,76.43,76.67,1661,0,0
2025.01.09 16:05,76.68,77.05,76.65,76.85,1222,0,0
2025.01.09 17:05,76.86,77.15,76.85,77.05,1399,0,0
2025.01.09 18:05,77.04,77.21,76.92,77.06,984,0,0
2025.01.09 19:05,77.07,77.15,76.85,76.9,1134,0,0
2025.01.09 20:05,76.9,77.21,76.83,77.17,1146,0,0
2025.01.09 21:05,77.18,77.2,77.11,77.12,359,0,0
2025.01.09 22:05,77.12,77.25,77.08,77.22,223,0,0
2025.01.10 02:05,77.23,77.29,77.01,77.06,1015,0,0
2025.01.10 03:05,77.07,77.2,77.05,77.12,639,0,0
2025.01.10 04:05,77.11,77.19,77.06,77.08,382,0,0
2025.01.10 05:05,77.08,77.28,77.08,77.27,256,0,0
2025.01.10 06:05,77.28,77.38,77.28,77.32,382,0,0
2025.01.10 07:05,77.31,77.41,77.22,77.41,363,0,0
2025.01.10 08:05,77.41,77.64,77.39,77.58,748,0,0
2025.01.10 09:05,77.59,78.07,77.54,77.98,1497,0,0
2025.01.10 10:05,77.98,78.74,77.98,78.67,2234,0,0
2025.01.10 11:05,78.68,78.86,78.59,78.81,1520,0,0
2025.01.10 12:05,78.8,79.73,78.79,79.4,2324,0,0
2025.01.10 13:05,79.4,79.71,79.18,79.58,2688,0,0
2025.01.10 14:05,79.56,79.95,79.55,79.81,3168,0,0
2025.01.10 15:05,79.82,80.71,79.67,79.96,4468,0,0
2025.01.10 16:05,79.96,80.12,78.47,78.49,4095,0,0
2025.01.10 17:05,78.51,79.35,78.43,79.23,4078,0,0
2025.01.10 18:05,79.24,79.55,79.12,79.42,2138,0,0
2025.01.10 19:05,79.43,79.63,79.26,79.62,1504,0,0
2025.01.10 20:05,79.62,79.88,79.49,79.64,1717,0,0
2025.01.10 21:05,79.65,79.74,79.59,79.71,598,0,0
2025.01.13 02:05,81.22,81.29,81.06,81.23,1968,0,0
2025.01.13 03:05,81.21,81.28,80.9,80.99,1015,0,0
2025.01.13 04:05,80.98,81.05,80.85,81.02,791,0,0
2025.01.13 05:05,81.02,81.29,80.93,81.22,795,0,0
2025.01.13 06:05,81.21,81.33,81.07,81.24,981,0,0
2025.01.13 07:05,81.25,81.37,81.05,81.05,736,0,0
2025.01.13 08:05,81.06,81.17,80.8,80.88,1556,0,0
2025.01.13 09:05,80.87,81.67,80.87,81.3,2566,0,0
2025.01.13 10:05,81.29,81.37,80.51,80.76,2498,0,0
2025.01.13 11:05,80.77,81.22,80.76,81.14,1832,0,0
2025.01.13 12:05,81.15,81.42,81.01,81.09,1574,0,0
2025.01.13 13:05,81.09,81.34,80.84,80.9,2050,0,0
2025.01.13 14:05,80.91,81.02,80.6,80.61,2680,0,0
2025.01.13 15:05,80.6,80.78,80.35,80.58,3109,0,0
2025.01.13 16:05,80.59,81.33,80.39,81.24,2778,0,0
2025.01.13 17:05,81.25,81.39,80.98,81.36,3106,0,0
2025.01.13 18:05,81.35,81.36,80.86,81.12,2148,0,0
2025.01.13 19:05,81.11,81.31,80.84,80.95,1722,0,0
2025.01.13 20:05,80.96,81.21,80.8,81.0,1729,0,0
2025.01.13 21:05,81.01,81.03,80.8,80.81,777,0,0
2025.01.13 22:05,80.81,80.9,80.77,80.88,495,0,0
