time,open,high,low,close,tick_volume,spread,real_volume
2024.10.28 10:35,71.26,71.32,71.05,71.1,713,0,0
2024.10.28 10:50,71.09,71.26,70.97,71.14,595,0,0
2024.10.28 11:05,71.15,71.27,71.0,71.1,633,0,0
2024.10.28 11:20,71.1,71.19,71.04,71.09,391,0,0
2024.10.28 11:35,71.08,71.42,71.07,71.42,547,0,0
2024.10.28 11:50,71.41,71.47,71.19,71.39,440,0,0
2024.10.28 12:05,71.4,71.56,71.36,71.55,429,0,0
2024.10.28 12:20,71.55,71.57,71.3,71.33,484,0,0
2024.10.28 12:35,71.33,71.47,71.27,71.3,332,0,0
2024.10.28 12:50,71.31,71.37,71.16,71.29,391,0,0
2024.10.28 13:05,71.31,71.32,71.14,71.16,398,0,0
2024.10.28 13:20,71.17,71.3,71.14,71.29,478,0,0
2024.10.28 13:35,71.29,71.31,71.06,71.15,436,0,0
2024.10.28 13:50,71.15,71.18,70.82,71.06,798,0,0
2024.10.28 14:05,71.06,71.23,70.98,71.22,992,0,0
2024.10.28 14:20,71.21,71.36,71.06,71.33,832,0,0
2024.10.28 14:35,71.33,71.64,71.27,71.58,807,0,0
2024.10.28 14:50,71.57,71.78,71.55,71.71,762,0,0
2024.10.28 15:05,71.72,71.87,71.65,71.76,748,0,0
2024.10.28 15:20,71.75,71.76,71.35,71.59,863,0,0
2024.10.28 15:35,71.6,71.66,71.49,71.65,584,0,0
2024.10.28 15:50,71.65,71.88,71.62,71.71,769,0,0
2024.10.28 16:05,71.72,71.81,71.58,71.62,514,0,0
2024.10.28 16:20,71.63,71.64,71.39,71.44,621,0,0
2024.10.28 16:35,71.45,71.51,71.34,71.47,598,0,0
2024.10.28 16:50,71.47,71.71,71.47,71.65,656,0,0
2024.10.28 17:05,71.65,71.83,71.52,71.53,644,0,0
2024.10.28 17:20,71.54,71.59,71.44,71.44,751,0,0
2024.10.28 17:35,71.46,71.6,71.39,71.53,562,0,0
2024.10.28 17:50,71.53,71.56,71.24,71.34,564,0,0
2024.10.28 18:05,71.35,71.42,71.28,71.32,391,0,0
2024.10.28 18:20,71.31,71.34,71.24,71.34,335,0,0
2024.10.28 18:35,71.34,71.45,71.32,71.33,377,0,0
2024.10.28 18:50,71.34,71.49,71.25,71.48,425,0,0
2024.10.28 19:05,71.48,71.52,71.18,71.25,617,0,0
2024.10.28 19:20,71.24,71.24,70.93,71.01,794,0,0
2024.10.28 19:35,71.01,71.17,71.01,71.15,281,0,0
2024.10.28 19:50,71.14,71.32,71.11,71.29,326,0,0
2024.10.28 20:05,71.3,71.3,71.09,71.24,248,0,0
2024.10.28 20:20,71.23,71.59,71.22,71.5,639,0,0
2024.10.28 20:35,71.49,71.5,71.4,71.43,231,0,0
2024.10.28 20:50,71.44,71.64,71.42,71.54,238,0,0
2024.10.28 21:05,71.54,71.59,71.5,71.57,165,0,0
2024.10.28 21:20,71.56,71.63,71.55,71.56,178,0,0
2024.10.28 21:35,71.55,71.63,71.55,71.6,145,0,0
2024.10.28 21:50,71.61,71.63,71.57,71.62,94,0,0
2024.10.29 01:05,71.52,71.53,71.46,71.46,133,0,0
2024.10.29 01:20,71.47,71.48,71.39,71.41,111,0,0
2024.10.29 01:35,71.41,71.43,71.38,71.4,102,0,0
2024.10.29 01:50,71.39,71.41,71.33,71.36,323,0,0
2024.10.29 02:05,71.36,71.37,71.28,71.3,228,0,0
2024.10.29 02:20,71.29,71.32,71.25,71.25,215,0,0
2024.10.29 02:35,71.26,71.29,71.23,71.26,169,0,0
2024.10.29 02:50,71.25,71.3,71.2,71.25,195,0,0
2024.10.29 03:05,71.24,71.35,71.2,71.33,229,0,0
2024.10.29 03:20,71.32,71.34,71.27,71.29,189,0,0
2024.10.29 03:35,71.28,71.3,71.18,71.22,255,0,0
2024.10.29 03:50,71.22,71.24,71.18,71.18,192,0,0
