time,open,high,low,close,tick_volume,spread,real_volume
2017.04.10 00:00,957.51,959.77,950.28,952.51,1416,0,0
2017.04.11 00:00,951.74,956.03,940.76,947.73,1738,0,0
2017.04.12 00:00,953.73,961.98,952.02,961.23,1587,0,0
2017.04.13 00:00,959.02,969.78,958.24,963.73,1549,0,0
2017.04.17 00:00,971.23,971.99,961.52,964.23,1676,0,0
2017.04.18 00:00,962.74,964.98,949.49,953.51,1646,0,0
2017.04.19 00:00,956.02,964.02,952.24,959.52,1644,0,0
2017.04.20 00:00,961.01,965.53,955.73,956.53,2068,0,0
2017.04.21 00:00,954.77,961.28,953.98,960.52,1568,0,0
2017.04.24 00:00,962.01,970.28,961.49,967.28,1928,0,0
2017.04.25 00:00,967.26,970.78,964.23,966.01,2131,0,0
2017.04.26 00:00,965.23,968.03,954.73,957.01,2471,0,0
2017.04.27 00:00,956.76,960.78,953.76,958.24,1971,0,0
2017.04.28 00:00,956.28,958.02,951.98,954.28,1606,0,0
2017.05.01 00:00,960.98,974.28,958.03,970.78,2708,0,0
2017.05.02 00:00,969.53,978.03,964.73,967.73,2746,0,0
2017.05.03 00:00,969.03,974.53,966.74,973.49,1997,0,0
2017.05.04 00:00,975.23,979.51,968.98,971.28,3067,0,0
2017.05.05 00:00,974.27,982.53,967.24,975.76,2710,0,0
2017.05.08 00:00,969.98,974.26,962.98,964.98,2176,0,0
2017.05.09 00:00,964.48,976.76,963.01,974.98,2216,0,0
2017.05.10 00:00,974.24,988.53,967.98,968.77,3133,0,0
2017.05.11 00:00,970.48,975.28,962.48,965.99,2019,0,0
2017.05.12 00:00,964.01,967.03,960.01,962.73,1575,0,0
2017.05.15 00:00,963.51,972.53,962.53,965.99,1909,0,0
2017.05.16 00:00,965.74,973.78,963.51,972.76,1845,0,0
2017.05.17 00:00,974.99,980.03,973.24,974.76,2041,0,0
2017.05.18 00:00,970.24,970.27,942.24,944.74,4782,0,0
2017.05.19 00:00,945.24,955.78,944.26,951.74,2454,0,0
2017.05.22 00:00,955.52,960.53,953.77,956.26,2001,0,0
2017.05.23 00:00,956.02,958.77,948.23,948.23,1804,0,0
2017.05.24 00:00,949.98,951.53,942.53,948.01,1862,0,0
2017.05.25 00:00,948.28,951.78,940.73,941.01,1881,0,0
2017.05.26 00:00,939.02,940.52,927.74,927.74,2135,0,0
2017.05.30 00:00,927.03,927.03,909.98,913.01,2666,0,0
2017.05.31 00:00,915.48,919.78,909.27,912.76,2627,0,0
2017.06.01 00:00,914.98,920.28,911.48,914.02,1915,0,0
2017.06.02 00:00,912.28,923.49,910.23,921.01,2177,0,0
2017.06.05 00:00,923.23,925.98,917.23,921.24,2292,0,0
2017.06.06 00:00,920.74,933.77,919.48,926.73,2156,0,0
2017.06.07 00:00,926.26,933.99,924.98,929.28,2036,0,0
2017.06.08 00:00,931.77,944.28,931.53,937.28,2570,0,0
2017.06.09 00:00,936.77,943.53,932.24,940.74,2744,0,0
2017.06.12 00:00,940.24,942.02,929.78,930.77,2120,0,0
2017.06.13 00:00,933.77,941.03,931.73,931.99,1968,0,0
2017.06.14 00:00,931.76,938.53,930.48,931.01,1619,0,0
