time,open,high,low,close,tick_volume,spread,real_volume
2017.05.30 00:00,10808,10884,10751,10827,7278,0,0
2017.05.31 00:00,10822,10923,10812,10851,7891,0,0
2017.06.01 00:00,10863,10889,10798,10884,7110,0,0
2017.06.02 00:00,10924,10976,10842,10880,7063,0,0
2017.06.05 00:00,10861,10883,10806,10855,4249,0,0
2017.06.06 00:00,10838,10874,10782,10793,7125,0,0
2017.06.07 00:00,10815,10892,10720,10807,8185,0,0
2017.06.08 00:00,10836,10954,10794,10949,8869,0,0
2017.06.09 00:00,10938,11013,10849,10901,8379,0,0
2017.06.12 00:00,10899,10914,10784,10788,8805,0,0
2017.06.13 00:00,10819,10916,10810,10879,5774,0,0
2017.06.14 00:00,10866,10933,10740,10770,7937,0,0
2017.06.15 00:00,10762,10771,10592,10667,11284,0,0
2017.06.16 00:00,10653,10721,10638,10691,7684,0,0
2017.06.19 00:00,10739,10819,10739,10796,5536,0,0
2017.06.20 00:00,10828,10846,10650,10675,5946,0,0
2017.06.21 00:00,10655,10695,10544,10638,7887,0,0
2017.06.22 00:00,10643,10660,10572,10614,6107,0,0
2017.06.23 00:00,10628,10651,10527,10558,6236,0,0
2017.06.26 00:00,10572,10696,10570,10626,6050,0,0
2017.06.27 00:00,10614,10669,10538,10552,8190,0,0
2017.06.28 00:00,10537,10665,10472,10660,9843,0,0
2017.06.29 00:00,10694,10736,10435,10451,11321,0,0
2017.06.30 00:00,10472,10547,10387,10450,9688,0,0
2017.07.03 00:00,10474,10586,10449,10546,6030,0,0
2017.07.04 00:00,10533,10581,10492,10527,4697,0,0
2017.07.05 00:00,10531,10581,10498,10529,7719,0,0
2017.07.06 00:00,10533,10542,10392,10506,9151,0,0
2017.07.07 00:00,10473,10518,10424,10516,6814,0,0
2017.07.10 00:00,10521,10539,10442,10516,5123,0,0
2017.07.11 00:00,10521,10537,10430,10465,5409,0,0
2017.07.12 00:00,10472,10576,10453,10574,5884,0,0
2017.07.13 00:00,10561,10681,10561,10677,5763,0,0
2017.07.14 00:00,10671,10703,10615,10666,5297,0,0
2017.07.17 00:00,10667,10690,10600,10632,5540,0,0
2017.07.18 00:00,10618,10684,10505,10531,7604,0,0
2017.07.19 00:00,10548,10600,10458,10600,7103,0,0
2017.07.20 00:00,10604,10626,10530,10558,9428,0,0
2017.07.21 00:00,10547,10547,10357,10400,8653,0,0
2017.07.24 00:00,10408,10459,10343,10445,6875,0,0
2017.07.25 00:00,10453,10603,10428,10498,6709,0,0
2017.07.26 00:00,10485,10562,10483,10539,5759,0,0
2017.07.27 00:00,10552,10619,10513,10531,6905,0,0
2017.07.28 00:00,10512,10561,10473,10512,7670,0,0
2017.07.31 00:00,10497,10576,10451,10479,5965,0,0
2017.08.01 00:00,10494,10600,10486,10552,6670,0,0
2017.08.02 00:00,10577,10601,10478,10496,6724,0,0
2017.08.03 00:00,10508,10548,10407,10538,7009,0,0
2017.08.04 00:00,10524,10693,10508,10679,6533,0,0
2017.08.07 00:00,10678,10690,10637,10675,4436,0,0
2017.08.08 00:00,10667,10758,10649,10706,5008,0,0
2017.08.09 00:00,10657,10702,10518,10598,8252,0,0
