time,open,high,low,close,tick_volume,spread,real_volume
2017.04.05 00:00,16.73,16.92,16.03,16.1,2083,0,0
2017.04.06 00:00,16.09,16.51,16.06,16.5,1281,0,0
2017.04.07 00:00,16.59,16.81,16.51,16.7,1400,0,0
2017.04.10 00:00,16.81,16.86,16.53,16.55,1182,0,0
2017.04.11 00:00,16.57,16.84,16.25,16.76,1737,0,0
2017.04.12 00:00,16.78,16.92,16.61,16.7,1342,0,0
2017.04.13 00:00,16.8,17.09,16.53,16.62,1985,0,0
2017.04.17 00:00,16.61,16.86,16.42,16.53,946,0,0
2017.04.18 00:00,16.48,16.98,16.29,16.96,1235,0,0
2017.04.19 00:00,16.91,16.96,16.44,16.48,1163,0,0
2017.04.20 00:00,16.56,16.68,16.37,16.39,979,0,0
2017.04.21 00:00,16.42,16.67,16.33,16.45,1127,0,0
2017.04.24 00:00,16.49,16.64,16.16,16.29,1244,0,0
2017.04.25 00:00,16.3,16.45,16.21,16.24,903,0,0
2017.04.26 00:00,16.26,16.38,15.5,15.59,1748,0,0
2017.04.27 00:00,15.6,15.83,15.33,15.38,1602,0,0
2017.04.28 00:00,15.41,16.21,15.41,16.14,1516,0,0
2017.05.01 00:00,16.16,16.38,15.91,16.13,1255,0,0
2017.05.02 00:00,16.13,16.46,15.77,15.87,1606,0,0
2017.05.03 00:00,15.82,15.88,15.58,15.75,1553,0,0
2017.05.04 00:00,15.76,15.76,15.26,15.34,1488,0,0
2017.05.05 00:00,15.36,15.64,15.24,15.35,1078,0,0
2017.05.08 00:00,15.41,15.49,15.26,15.4,963,0,0
2017.05.09 00:00,15.41,15.68,15.34,15.49,1218,0,0
2017.05.10 00:00,15.47,15.86,15.43,15.86,910,0,0
2017.05.11 00:00,15.88,15.9,15.57,15.66,758,0,0
2017.05.12 00:00,15.66,15.81,15.44,15.46,1000,0,0
2017.05.15 00:00,15.5,15.96,15.48,15.57,1135,0,0
2017.05.16 00:00,15.76,15.97,15.7,15.97,807,0,0
2017.05.17 00:00,16.02,16.31,15.85,16.29,1146,0,0
2017.05.18 00:00,15.91,16.16,15.57,15.96,2113,0,0
2017.05.19 00:00,15.96,16.41,15.89,16.4,1118,0,0
2017.05.22 00:00,16.31,16.56,16.21,16.41,1158,0,0
2017.05.23 00:00,16.32,16.39,15.76,15.84,1485,0,0
2017.05.24 00:00,15.87,15.92,15.35,15.58,1518,0,0
2017.05.25 00:00,15.66,15.71,15.42,15.62,1058,0,0
2017.05.26 00:00,15.47,15.48,15.0,15.01,1457,0,0
2017.05.30 00:00,15.03,15.12,14.71,14.99,1533,0,0
2017.05.31 00:00,15.03,15.13,14.73,14.84,940,0,0
2017.06.01 00:00,14.92,14.94,14.18,14.2,1572,0,0
2017.06.02 00:00,14.12,14.31,13.61,13.69,1365,0,0
2017.06.05 00:00,13.79,14.22,13.79,13.83,1285,0,0
2017.06.06 00:00,13.96,14.2,13.66,14.0,1182,0,0
2017.06.07 00:00,13.99,14.29,13.72,14.15,1612,0,0
2017.06.08 00:00,14.13,14.41,14.05,14.4,1050,0,0
2017.06.09 00:00,14.55,14.57,14.36,14.46,865,0,0
2017.06.12 00:00,14.47,14.69,14.15,14.19,1104,0,0
2017.06.13 00:00,14.16,14.2,13.96,13.96,914,0,0
2017.06.14 00:00,13.86,13.95,13.59,13.83,1301,0,0
2017.06.15 00:00,13.8,13.81,13.63,13.69,955,0,0
2017.06.16 00:00,13.76,13.82,13.47,13.6,961,0,0
2017.06.19 00:00,13.59,13.73,13.53,13.71,1041,0,0
2017.06.20 00:00,13.65,13.83,13.52,13.8,1008,0,0
2017.06.21 00:00,13.74,13.82,13.21,13.25,1192,0,0
2017.06.22 00:00,13.26,13.3,13.01,13.01,851,0,0
2017.06.23 00:00,13.06,13.2,12.94,13.2,965,0,0
2017.06.26 00:00,13.17,13.22,12.8,12.82,733,0,0
2017.06.27 00:00,12.83,12.93,12.76,12.92,1085,0,0
2017.06.28 00:00,12.93,13.02,12.71,12.74,899,0,0
2017.06.29 00:00,12.77,13.55,12.72,13.53,1297,0,0
2017.06.30 00:00,13.63,14.03,13.52,13.78,1488,0,0
2017.07.03 00:00,13.42,13.94,13.25,13.91,1458,0,0
2017.07.04 00:00,49.57,49.89,49.28,49.66,3596,0,0
2017.07.05 00:00,13.87,13.94,13.46,13.65,1429,0,0
2017.07.06 00:00,13.58,13.91,13.51,13.82,983,0,0
2017.07.07 00:00,13.84,14.27,13.62,14.1,1312,0,0
2017.07.10 00:00,14.08,14.36,13.48,13.53,1571,0,0
2017.07.11 00:00,13.62,13.63,13.19,13.43,1133,0,0
2017.07.12 00:00,13.46,13.65,13.25,13.48,1008,0,0
2017.07.13 00:00,13.51,14.14,13.48,14.05,1491,0,0
2017.07.14 00:00,14.04,14.28,13.81,14.22,1024,0,0
2017.07.17 00:00,14.24,14.33,13.88,14.09,1440,0,0
2017.07.18 00:00,14.12,14.24,13.89,14.12,1345,0,0
2017.07.19 00:00,14.1,14.57,14.06,14.55,971,0,0
2017.07.20 00:00,14.54,14.6,14.31,14.37,979,0,0
2017.07.21 00:00,14.44,14.66,14.28,14.34,1083,0,0
2017.07.24 00:00,14.32,14.45,14.16,14.37,979,0,0
2017.07.25 00:00,14.39,14.44,13.85,13.88,1087,0,0
2017.07.26 00:00,13.77,14.31,13.74,14.16,1294,0,0
2017.07.27 00:00,14.2,14.62,14.2,14.44,1157,0,0
2017.07.28 00:00,14.46,14.52,14.1,14.34,1350,0,0
2017.07.31 00:00,14.48,14.96,14.45,14.9,1331,0,0
2017.08.01 00:00,14.85,15.12,14.76,14.79,1584,0,0
2017.08.02 00:00,14.76,14.93,14.59,14.83,1242,0,0
2017.08.03 00:00,14.74,14.78,14.03,14.42,1447,0,0
2017.08.04 00:00,14.4,14.42,14.06,14.13,1052,0,0
2017.08.07 00:00,14.12,14.24,13.81,13.92,1069,0,0
2017.08.08 00:00,13.93,14.07,13.73,13.74,1041,0,0
2017.08.09 00:00,13.79,13.85,13.57,13.62,1013,0,0
2017.08.10 00:00,13.58,13.69,13.18,13.2,1033,0,0
2017.08.11 00:00,13.22,13.36,13.09,13.33,1276,0,0
2017.08.14 00:00,13.26,13.55,13.09,13.54,1325,0,0
2017.08.15 00:00,13.44,13.5,13.09,13.14,940,0,0
2017.08.16 00:00,13.23,13.39,12.9,12.91,1087,0,0
2017.08.17 00:00,12.95,13.33,12.9,13.31,1173,0,0
2017.08.18 00:00,13.41,13.49,13.16,13.42,1065,0,0
2017.08.21 00:00,13.44,13.62,13.41,13.47,991,0,0
2017.08.22 00:00,13.44,13.52,13.25,13.49,968,0,0
2017.08.23 00:00,13.51,13.72,13.36,13.68,976,0,0
2017.08.24 00:00,13.88,14.02,13.68,13.98,1108,0,0
2017.08.25 00:00,14.06,14.08,13.87,14.02,888,0,0
2017.08.28 00:00,14.04,14.32,13.82,14.27,631,0,0
2017.08.29 00:00,14.22,14.29,13.7,13.85,1202,0,0
2017.08.30 00:00,13.79,13.95,13.63,13.88,1241,0,0
2017.08.31 00:00,13.79,14.41,13.78,14.26,1111,0,0
2017.09.01 00:00,14.27,14.35,13.69,13.75,1677,0,0
2017.09.04 00:00,52.34,52.78,51.98,52.19,4360,0,0
2017.09.05 00:00,13.89,14.1,13.7,13.99,1201,0,0
2017.09.06 00:00,14.02,14.28,13.87,14.22,796,0,0
2017.09.07 00:00,14.23,14.27,13.95,14.05,1200,0,0
2017.09.08 00:00,14.62,14.78,14.53,14.57,1162,0,0
2017.09.11 00:00,14.6,14.87,14.35,14.8,1272,0,0
2017.09.12 00:00,14.81,14.88,14.48,14.55,1507,0,0
2017.09.13 00:00,14.53,14.8,14.51,14.78,852,0,0
2017.09.14 00:00,14.79,14.85,14.56,14.81,1071,0,0
2017.09.15 00:00,14.76,15.17,14.67,15.1,1074,0,0
