time,open,high,low,close,tick_volume,spread,real_volume
2025.01.23 23:00,1.43769,1.43813,1.4374,1.43801,392,0,0
2025.01.24 00:00,1.43797,1.43804,1.43705,1.4377,725,0,0
2025.01.24 01:00,1.43769,1.43795,1.43718,1.43749,1051,0,0
2025.01.24 02:00,1.43749,1.4383,1.43743,1.43748,1111,0,0
2025.01.24 03:00,1.43748,1.43748,1.43254,1.43284,2496,0,0
2025.01.24 04:00,1.43286,1.4344,1.43202,1.43335,2166,0,0
2025.01.24 05:00,1.43335,1.43431,1.43279,1.43399,1950,0,0
2025.01.24 06:00,1.434,1.43414,1.43308,1.43308,2075,0,0
2025.01.24 07:00,1.43304,1.43332,1.43208,1.43295,2043,0,0
2025.01.24 08:00,1.43297,1.43481,1.43296,1.43434,2664,0,0
2025.01.24 09:00,1.43433,1.43469,1.43246,1.43281,2760,0,0
2025.01.24 10:00,1.43278,1.43381,1.43142,1.43245,2707,0,0
2025.01.24 11:00,1.43245,1.43298,1.4319,1.43264,2047,0,0
2025.01.24 12:00,1.43266,1.4337,1.43219,1.43336,1863,0,0
2025.01.24 13:00,1.43337,1.43489,1.43337,1.4342,1732,0,0
2025.01.24 14:00,1.43419,1.43426,1.4322,1.43234,2669,0,0
2025.01.24 15:00,1.43232,1.4341,1.43114,1.43347,3151,0,0
2025.01.24 16:00,1.43324,1.434,1.43193,1.4327,3776,0,0
2025.01.24 17:00,1.4327,1.43407,1.4324,1.43319,3201,0,0
2025.01.24 18:00,1.4332,1.4337,1.43263,1.43366,2670,0,0
2025.01.24 19:00,1.43364,1.43425,1.43334,1.43409,2276,0,0
2025.01.24 20:00,1.43406,1.43463,1.43392,1.43417,1866,0,0
2025.01.24 21:00,1.43417,1.43485,1.4338,1.43458,1830,0,0
2025.01.26 23:00,1.43585,1.43699,1.43563,1.43689,426,0,0
2025.01.27 00:00,1.43689,1.43867,1.43676,1.43854,1495,0,0
2025.01.27 01:00,1.43853,1.43859,1.43708,1.43746,1454,0,0
2025.01.27 02:00,1.43746,1.43862,1.43646,1.43829,2262,0,0
2025.01.27 03:00,1.43828,1.44006,1.43828,1.4387,2116,0,0
2025.01.27 04:00,1.43873,1.43907,1.43658,1.43766,1796,0,0
2025.01.27 05:00,1.43766,1.43891,1.43736,1.43809,1277,0,0
2025.01.27 06:00,1.43819,1.43904,1.43816,1.43838,1515,0,0
2025.01.27 07:00,1.43837,1.43927,1.43786,1.43797,1870,0,0
2025.01.27 08:00,1.43796,1.43996,1.43794,1.43992,2272,0,0
2025.01.27 09:00,1.43993,1.43993,1.4377,1.43779,3033,0,0
2025.01.27 10:00,1.43781,1.4381,1.43645,1.43678,3016,0,0
2025.01.27 11:00,1.43677,1.43677,1.43469,1.43562,3272,0,0
2025.01.27 12:00,1.43565,1.43676,1.43481,1.43603,3070,0,0
2025.01.27 13:00,1.43605,1.43695,1.43327,1.43404,2852,0,0
2025.01.27 14:00,1.43405,1.43598,1.43334,1.43573,3248,0,0
2025.01.27 15:00,1.43572,1.43886,1.43558,1.43786,3564,0,0
2025.01.27 16:00,1.43781,1.43948,1.43778,1.43838,3473,0,0
2025.01.27 17:00,1.43836,1.43949,1.43794,1.43898,3150,0,0
2025.01.27 18:00,1.43899,1.43975,1.43856,1.43975,2714,0,0
2025.01.27 19:00,1.43974,1.44004,1.43803,1.4385,2523,0,0
2025.01.27 20:00,1.43849,1.43869,1.43751,1.43765,2695,0,0
2025.01.27 21:00,1.43765,1.43838,1.43708,1.43716,2226,0,0
2025.01.27 22:00,1.43718,1.43756,1.43652,1.43716,1378,0,0
2025.01.27 23:00,1.437,1.43713,1.43672,1.43681,356,0,0
2025.01.28 00:00,1.43679,1.44147,1.43661,1.44051,3268,0,0
2025.01.28 01:00,1.44048,1.44066,1.43873,1.43906,2148,0,0
2025.01.28 02:00,1.43906,1.44031,1.43802,1.43958,2079,0,0
2025.01.28 03:00,1.43975,1.44046,1.43874,1.43927,2278,0,0
2025.01.28 04:00,1.43931,1.43997,1.43908,1.43984,1500,0,0
2025.01.28 05:00,1.43985,1.44036,1.43941,1.43947,1046,0,0
2025.01.28 06:00,1.43946,1.4399,1.43916,1.43978,977,0,0
2025.01.28 07:00,1.43979,1.44025,1.43925,1.43995,1289,0,0
2025.01.28 08:00,1.43996,1.44049,1.43919,1.44033,1859,0,0
2025.01.28 09:00,1.44034,1.44116,1.44012,1.44045,2540,0,0
2025.01.28 10:00,1.44044,1.44044,1.43885,1.43969,2351,0,0
2025.01.28 11:00,1.43971,1.44114,1.43935,1.44111,1877,0,0
2025.01.28 12:00,1.44112,1.4416,1.44071,1.44152,1706,0,0
2025.01.28 13:00,1.44149,1.44193,1.44097,1.44157,1983,0,0
2025.01.28 14:00,1.44158,1.4417,1.43952,1.44017,2686,0,0
2025.01.28 15:00,1.44016,1.44016,1.43683,1.43809,3559,0,0
2025.01.28 16:00,1.4381,1.43929,1.43766,1.43914,3406,0,0
2025.01.28 17:00,1.43914,1.43998,1.43833,1.43914,2959,0,0
2025.01.28 18:00,1.43915,1.43975,1.4385,1.43964,2129,0,0
2025.01.28 19:00,1.43962,1.4407,1.43837,1.43996,2235,0,0
2025.01.28 20:00,1.43997,1.44125,1.43929,1.43943,2156,0,0
2025.01.28 21:00,1.43944,1.44,1.43925,1.43963,1902,0,0
2025.01.28 22:00,1.43963,1.44028,1.43929,1.43991,934,0,0
2025.01.28 23:00,1.43931,1.43979,1.43867,1.43954,1983,0,0
2025.01.29 00:00,1.43955,1.44021,1.43955,1.44019,942,0,0
2025.01.29 01:00,1.4402,1.44084,1.43962,1.4404,1594,0,0
2025.01.29 02:00,1.44041,1.44052,1.44004,1.4402,1164,0,0
2025.01.29 03:00,1.44021,1.44024,1.43939,1.43974,1084,0,0
2025.01.29 04:00,1.43974,1.44025,1.43952,1.43956,1200,0,0
