time,open,high,low,close,tick_volume,spread,real_volume
2025.04.22 10:18,140.365,140.384,140.318,140.384,66,0,0
2025.04.22 10:19,140.385,140.409,140.379,140.392,58,0,0
2025.04.22 10:20,140.391,140.405,140.387,140.404,46,0,0
2025.04.22 10:21,140.406,140.429,140.346,140.355,61,0,0
2025.04.22 10:22,140.352,140.385,140.341,140.376,56,0,0
2025.04.22 10:23,140.375,140.394,140.372,140.372,48,0,0
2025.04.22 10:24,140.37,140.405,140.368,140.386,57,0,0
2025.04.22 10:25,140.388,140.414,140.372,140.372,51,0,0
2025.04.22 10:26,140.373,140.38,140.342,140.362,62,0,0
2025.04.22 10:27,140.361,140.364,140.333,140.346,75,0,0
2025.04.22 10:28,140.344,140.347,140.32,140.333,66,0,0
2025.04.22 10:29,140.332,140.374,140.318,140.362,65,0,0
2025.04.22 10:30,140.373,140.393,140.36,140.378,67,0,0
2025.04.22 10:31,140.384,140.412,140.377,140.41,66,0,0
2025.04.22 10:32,140.408,140.463,140.406,140.461,61,0,0
2025.04.22 10:33,140.462,140.481,140.422,140.429,65,0,0
2025.04.22 10:34,140.435,140.458,140.432,140.454,58,0,0
2025.04.22 10:35,140.455,140.504,140.432,140.492,57,0,0
2025.04.22 10:36,140.493,140.52,140.491,140.502,55,0,0
2025.04.22 10:37,140.503,140.52,140.497,140.51,52,0,0
2025.04.22 10:38,140.509,140.572,140.479,140.572,57,0,0
2025.04.22 10:39,140.57,140.58,140.549,140.569,59,0,0
2025.04.22 10:40,140.568,140.581,140.548,140.577,55,0,0
2025.04.22 10:41,140.57,140.572,140.54,140.561,60,0,0
2025.04.22 10:42,140.569,140.601,140.569,140.592,51,0,0
2025.04.22 10:43,140.59,140.615,140.589,140.596,50,0,0
2025.04.22 10:44,140.605,140.628,140.599,140.616,50,0,0
2025.04.22 10:45,140.617,140.623,140.57,140.575,61,0,0
2025.04.22 10:46,140.574,140.575,140.558,140.564,45,0,0
2025.04.22 10:47,140.562,140.575,140.55,140.554,30,0,0
2025.04.22 10:48,140.555,140.555,140.503,140.511,50,0,0
