time,open,high,low,close,tick_volume,spread,real_volume
2024.01.25 04:00,13.91,13.99,13.91,13.98,13,0,0
2024.01.25 08:00,13.93,14.04,13.93,13.94,21,0,0
2024.01.25 12:00,13.95,13.98,13.83,13.83,68,0,0
2024.01.25 16:00,13.88,14.18,13.88,14.03,105,0,0
2024.01.25 20:00,14.08,14.18,13.98,14.13,107,0,0
2024.01.26 00:00,14.12,14.27,14.12,14.21,28,0,0
2024.01.26 04:00,14.31,14.36,14.21,14.28,19,0,0
2024.01.26 08:00,14.23,14.33,14.18,14.23,45,0,0
2024.01.26 12:00,14.18,14.23,14.03,14.18,96,0,0
2024.01.26 16:00,14.18,14.18,13.88,13.88,87,0,0
2024.01.26 20:00,13.83,14.08,13.83,14.03,33,0,0
2024.01.29 00:00,14.02,14.13,14.02,14.02,22,0,0
2024.01.29 04:00,14.01,14.1,14.01,14.03,15,0,0
2024.01.29 08:00,14.03,14.13,13.98,14.08,32,0,0
2024.01.29 12:00,14.03,14.13,13.98,14.13,28,0,0
2024.01.29 16:00,14.13,14.33,14.03,14.04,46,0,0
2024.01.29 20:00,14.08,14.18,14.03,14.14,60,0,0
2024.01.30 00:00,14.12,14.16,14.01,14.03,10,0,0
2024.01.30 04:00,14.04,14.08,14.04,14.08,10,0,0
2024.01.30 08:00,14.13,14.14,14.03,14.03,19,0,0
2024.01.30 12:00,14.08,14.13,13.98,13.98,54,0,0
2024.01.30 16:00,14.03,14.08,13.93,13.93,43,0,0
2024.01.30 20:00,13.94,13.98,13.88,13.98,39,0,0
2024.01.31 00:00,13.97,14.02,13.97,14.01,14,0,0
2024.01.31 04:00,14.02,14.02,13.98,13.98,11,0,0
2024.01.31 08:00,13.98,14.05,13.93,13.98,62,0,0
2024.01.31 12:00,13.93,14.33,13.73,14.28,143,0,0
2024.01.31 16:00,14.33,14.83,14.23,14.28,360,0,0
2024.01.31 20:00,14.28,14.83,14.08,14.73,566,0,0
2024.02.01 00:00,14.72,14.73,14.56,14.56,17,0,0
2024.02.01 04:00,14.57,14.68,14.56,14.68,17,0,0
2024.02.01 08:00,14.68,14.78,14.48,14.48,108,0,0
2024.02.01 12:00,14.53,14.54,14.28,14.48,168,0,0
2024.02.01 16:00,14.53,14.93,14.33,14.33,370,0,0
2024.02.01 20:00,14.33,14.63,14.28,14.3,160,0,0
2024.02.02 00:00,14.27,14.31,14.11,14.15,30,0,0
2024.02.02 04:00,14.16,14.23,14.15,14.18,8,0,0
2024.02.02 08:00,14.19,14.33,14.18,14.18,28,0,0
2024.02.02 12:00,14.18,14.63,14.13,14.43,204,0,0
2024.02.02 16:00,14.38,14.63,14.18,14.63,259,0,0
2024.02.02 20:00,14.58,14.63,14.33,14.43,74,0,0
2024.02.05 00:00,14.57,14.61,14.42,14.51,50,0,0
2024.02.05 04:00,14.61,14.62,14.53,14.53,22,0,0
2024.02.05 08:00,14.54,14.58,14.43,14.43,50,0,0
