time,open,high,low,close,tick_volume,spread,real_volume
2025.04.22 16:00,546.6,546.89,546.6,546.89,8,0,0
2025.04.22 16:01,546.88,548.14,546.88,547.85,17,0,0
2025.04.22 16:02,548.35,548.89,548.11,548.11,7,0,0
2025.04.22 16:03,548.38,548.6,548.1,548.11,17,0,0
2025.04.22 16:04,547.88,548.14,547.85,548.14,10,0,0
2025.04.22 16:05,548.14,548.63,548.14,548.6,14,0,0
2025.04.22 16:06,548.38,549.14,548.38,548.88,16,0,0
2025.04.22 16:07,549.14,549.14,548.35,548.35,14,0,0
2025.04.22 16:08,548.11,548.64,548.1,548.61,17,0,0
2025.04.22 16:09,548.35,548.39,547.61,547.61,15,0,0
2025.04.22 16:10,547.63,548.13,547.61,548.11,7,0,0
2025.04.22 16:11,547.85,547.85,547.85,547.85,1,0,0
2025.04.22 16:12,547.64,548.38,547.61,548.38,4,0,0
2025.04.22 16:13,548.39,548.61,548.39,548.6,3,0,0
2025.04.22 16:14,548.6,549.35,548.6,548.85,8,0,0
2025.04.22 16:15,548.86,549.39,548.85,549.39,9,0,0
2025.04.22 16:16,549.14,549.61,549.11,549.39,6,0,0
2025.04.22 16:17,549.36,549.36,549.36,549.36,1,0,0
2025.04.22 16:18,549.13,549.35,549.13,549.35,2,0,0
2025.04.22 16:19,549.14,549.14,549.1,549.14,4,0,0
2025.04.22 16:20,549.35,549.89,549.1,549.61,11,0,0
2025.04.22 16:21,549.63,549.63,549.39,549.39,4,0,0
2025.04.22 16:22,549.35,549.6,549.35,549.6,5,0,0
2025.04.22 16:23,550.13,550.36,550.1,550.36,9,0,0
2025.04.22 16:24,550.36,550.89,550.36,550.86,9,0,0
2025.04.22 16:25,551.14,551.64,551.1,551.63,21,0,0
2025.04.22 16:26,551.6,551.86,551.6,551.64,8,0,0
2025.04.22 16:27,551.89,551.89,551.1,551.38,15,0,0
2025.04.22 16:28,551.36,551.36,551.1,551.14,5,0,0
2025.04.22 16:29,551.6,551.64,551.35,551.63,6,0,0
2025.04.22 16:30,551.64,552.14,551.6,551.61,15,0,0
2025.04.22 16:31,551.36,551.89,551.36,551.86,9,0,0
2025.04.22 16:32,552.14,552.63,552.14,552.63,5,0,0
2025.04.22 16:33,552.6,552.89,552.6,552.61,4,0,0
2025.04.22 16:34,552.35,552.61,552.35,552.61,4,0,0
2025.04.22 16:35,552.6,552.64,552.6,552.64,2,0,0
2025.04.22 16:36,552.86,552.86,552.86,552.86,1,0,0
2025.04.22 16:37,552.85,552.85,552.85,552.85,1,0,0
2025.04.22 16:38,552.88,553.14,552.88,553.14,2,0,0
2025.04.22 16:39,552.86,553.1,552.85,553.1,4,0,0
2025.04.22 16:40,552.89,553.14,552.89,553.14,2,0,0
2025.04.22 16:41,553.11,553.39,552.61,552.61,4,0,0
2025.04.22 16:42,552.38,552.38,551.86,551.88,8,0,0
2025.04.22 16:43,551.88,552.13,551.85,551.88,13,0,0
2025.04.22 16:44,552.13,552.13,551.63,551.88,3,0,0
2025.04.22 16:45,551.88,552.13,551.88,552.13,3,0,0
2025.04.22 16:46,552.11,552.39,552.1,552.39,7,0,0
2025.04.22 16:47,552.38,552.38,552.36,552.36,2,0,0
2025.04.22 16:48,552.14,552.14,551.89,552.14,5,0,0
2025.04.22 16:49,552.14,552.39,552.14,552.39,2,0,0
2025.04.22 16:50,552.64,552.64,551.88,551.88,4,0,0
2025.04.22 16:52,552.13,552.39,551.86,552.39,5,0,0
2025.04.22 16:53,552.39,552.63,552.39,552.63,4,0,0
2025.04.22 16:54,552.39,552.39,552.11,552.11,2,0,0
2025.04.22 16:55,552.38,552.38,552.1,552.1,2,0,0
2025.04.22 16:56,551.88,551.88,551.35,551.35,5,0,0
2025.04.22 16:57,551.63,551.88,551.36,551.88,4,0,0
2025.04.22 16:58,551.63,551.89,551.63,551.89,2,0,0
2025.04.22 16:59,551.64,552.14,551.63,552.14,3,0,0
2025.04.22 17:00,551.61,551.61,551.38,551.39,7,0,0
2025.04.22 17:01,551.39,551.6,551.39,551.6,2,0,0
2025.04.22 17:02,551.38,551.64,551.1,551.1,7,0,0
2025.04.22 17:03,550.85,550.88,550.85,550.86,3,0,0
2025.04.22 17:04,550.85,550.89,550.6,550.64,8,0,0
2025.04.22 17:05,550.88,550.88,550.35,550.36,6,0,0
2025.04.22 17:06,550.13,550.36,550.1,550.36,5,0,0
2025.04.22 17:07,550.6,550.64,550.1,550.39,5,0,0
2025.04.22 17:08,550.36,550.36,550.36,550.36,1,0,0
2025.04.22 17:09,550.39,550.61,550.39,550.61,2,0,0
2025.04.22 17:10,550.61,551.11,550.61,551.11,3,0,0
2025.04.22 17:11,551.36,551.6,551.36,551.6,2,0,0
2025.04.22 17:12,551.38,551.63,551.14,551.14,3,0,0
2025.04.22 17:13,551.38,551.64,551.11,551.35,13,0,0
2025.04.22 17:14,551.36,551.39,551.35,551.35,5,0,0
2025.04.22 17:16,551.36,551.39,551.11,551.11,3,0,0
2025.04.22 17:17,551.35,551.35,550.86,550.86,3,0,0
2025.04.22 17:18,550.88,550.88,550.88,550.88,1,0,0
2025.04.22 17:19,550.88,551.11,550.88,551.11,2,0,0
2025.04.22 17:20,550.86,550.86,550.64,550.64,2,0,0
2025.04.22 17:21,550.39,550.39,550.11,550.11,3,0,0
2025.04.22 17:22,550.38,550.63,550.13,550.38,8,0,0
2025.04.22 17:23,550.38,550.63,550.38,550.63,3,0,0
2025.04.22 17:24,550.39,550.64,550.35,550.36,7,0,0
2025.04.22 17:25,550.38,550.64,550.36,550.38,9,0,0
2025.04.22 17:26,550.36,550.61,550.36,550.39,3,0,0
2025.04.22 17:27,550.14,550.36,550.14,550.36,2,0,0
2025.04.22 17:28,550.14,550.14,549.86,550.13,5,0,0
2025.04.22 17:29,549.88,550.1,549.88,549.88,3,0,0
2025.04.22 17:30,550.14,550.14,550.14,550.14,1,0,0
2025.04.22 17:31,550.1,550.39,550.1,550.14,10,0,0
2025.04.22 17:32,550.11,550.6,550.1,550.6,5,0,0
2025.04.22 17:33,550.61,550.85,550.61,550.61,3,0,0
2025.04.22 17:34,550.89,550.89,550.89,550.89,1,0,0
2025.04.22 17:35,550.36,550.64,550.36,550.39,3,0,0
2025.04.22 17:36,550.64,551.39,550.39,551.39,13,0,0
2025.04.22 17:37,551.11,551.64,551.11,551.63,10,0,0
2025.04.22 17:38,551.63,552.14,551.63,552.11,4,0,0
2025.04.22 17:39,552.13,552.88,552.11,552.64,11,0,0
2025.04.22 17:40,552.63,552.63,552.35,552.61,10,0,0
2025.04.22 17:41,552.6,552.64,552.6,552.61,5,0,0
2025.04.22 17:42,552.64,553.38,552.6,553.14,10,0,0
2025.04.22 17:43,553.39,553.63,553.14,553.63,6,0,0
2025.04.22 17:44,553.64,554.13,553.6,554.13,9,0,0
2025.04.22 17:45,554.11,554.64,554.11,554.64,14,0,0
2025.04.22 17:46,554.38,554.61,554.13,554.13,5,0,0
2025.04.22 17:47,553.85,554.38,553.85,553.85,6,0,0
2025.04.22 17:48,554.13,554.13,553.38,553.38,4,0,0
2025.04.22 17:49,553.63,553.63,553.35,553.38,6,0,0
2025.04.22 17:50,553.61,553.61,553.38,553.61,5,0,0
2025.04.22 17:51,553.39,553.39,553.36,553.36,2,0,0
2025.04.22 17:52,553.14,553.64,553.11,553.38,8,0,0
2025.04.22 17:53,553.38,553.39,553.1,553.35,9,0,0
