time,open,high,low,close,tick_volume,spread,real_volume
2025.06.25 02:27,549.33,549.59,549.33,549.59,2,0,0
2025.06.25 02:28,549.36,549.59,549.34,549.58,5,0,0
2025.06.25 02:29,549.62,550.09,549.62,550.09,4,0,0
2025.06.25 02:30,549.61,549.61,549.61,549.61,1,0,0
2025.06.25 02:31,549.86,549.86,549.83,549.83,2,0,0
2025.06.25 02:32,549.84,549.84,549.84,549.84,1,0,0
2025.06.25 02:33,550.09,550.12,549.86,550.12,3,0,0
2025.06.25 02:34,550.09,550.09,550.08,550.08,2,0,0
2025.06.25 02:36,550.59,550.59,550.37,550.37,2,0,0
2025.06.25 02:37,550.11,550.11,549.84,549.87,3,0,0
2025.06.25 02:39,549.61,549.61,549.61,549.61,1,0,0
2025.06.25 02:40,549.86,549.86,549.86,549.86,1,0,0
2025.06.25 02:41,549.61,549.61,549.61,549.61,1,0,0
2025.06.25 02:44,549.58,549.58,549.58,549.58,1,0,0
2025.06.25 02:45,549.62,549.87,549.62,549.87,2,0,0
2025.06.25 02:48,549.34,549.34,549.34,549.34,1,0,0
2025.06.25 02:53,549.09,549.34,549.09,549.11,4,0,0
2025.06.25 02:54,549.09,549.09,549.09,549.09,1,0,0
2025.06.25 02:55,549.08,549.12,549.08,549.08,3,0,0
2025.06.25 02:57,548.86,549.09,548.86,549.09,3,0,0
2025.06.25 02:58,548.86,549.11,548.86,548.87,3,0,0
2025.06.25 02:59,549.08,549.08,549.08,549.08,1,0,0
2025.06.25 03:00,549.34,549.36,549.08,549.36,3,0,0
2025.06.25 03:01,549.36,549.37,549.33,549.34,4,0,0
2025.06.25 03:02,549.33,549.33,549.33,549.33,1,0,0
2025.06.25 03:03,549.36,549.59,549.36,549.59,3,0,0
2025.06.25 03:04,549.36,549.58,549.34,549.58,4,0,0
2025.06.25 03:05,549.33,549.58,549.33,549.37,8,0,0
2025.06.25 03:06,549.37,549.37,549.34,549.37,3,0,0
2025.06.25 03:07,549.36,549.59,549.36,549.36,3,0,0
2025.06.25 03:09,549.33,549.33,549.33,549.33,1,0,0
2025.06.25 03:10,549.61,549.61,549.33,549.33,2,0,0
2025.06.25 03:13,549.59,549.62,549.36,549.36,4,0,0
2025.06.25 03:14,549.12,549.12,549.12,549.12,1,0,0
2025.06.25 03:17,548.86,549.09,548.86,549.09,2,0,0
2025.06.25 03:19,548.86,548.86,548.86,548.86,1,0,0
2025.06.25 03:20,549.11,549.11,549.11,549.11,1,0,0
2025.06.25 03:21,548.84,548.84,548.84,548.84,1,0,0
2025.06.25 03:23,548.86,549.11,548.86,549.11,2,0,0
2025.06.25 03:26,548.84,549.09,548.84,548.84,3,0,0
2025.06.25 03:28,549.11,549.11,549.11,549.11,1,0,0
2025.06.25 03:29,548.87,549.08,548.84,548.87,4,0,0
2025.06.25 03:30,548.86,548.86,548.86,548.86,1,0,0
2025.06.25 03:31,548.83,549.09,548.83,548.83,3,0,0
2025.06.25 03:32,549.12,549.12,548.84,548.84,2,0,0
