timestamp,bid,ask
2025-04-05 21:09:05.045118,66.28,66.32
2025-04-06 21:55:04.504291,66.28,66.32
2025-04-06 22:47:35.295059,66.28,66.32
2025-04-06 23:13:29.875793,66.28,66.32
2025-04-07 00:01:01.405550,66.28,66.32
2025-04-07 00:04:59.349514,63.13,63.21
2025-04-07 00:04:59.618699,63.17,63.21
2025-04-07 00:04:59.751492,63.16,63.21
2025-04-07 00:04:59.967778,63.16,63.2
2025-04-07 00:05:03.602731,63.15,63.19
2025-04-07 00:05:07.929219,63.16,63.2
2025-04-07 00:05:08.898114,63.17,63.21
2025-04-07 00:05:10.607340,63.18,63.22
2025-04-07 00:05:11.151849,63.17,63.21
2025-04-07 00:05:11.458946,63.18,63.22
2025-04-07 00:05:11.715956,63.2,63.24
2025-04-07 00:05:12.626135,63.21,63.25
2025-04-07 00:05:14.063496,63.2,63.24
2025-04-07 00:05:22.380876,63.19,63.23
2025-04-07 00:05:23.998358,63.2,63.24
2025-04-07 00:05:24.677425,63.19,63.23
2025-04-07 00:05:24.898455,63.2,63.24
2025-04-07 00:05:28.719989,63.19,63.23
2025-04-07 00:05:30.706052,63.2,63.24
2025-04-07 00:05:32.245283,63.19,63.23
2025-04-07 00:05:32.516151,63.18,63.22
2025-04-07 00:05:33.289259,63.19,63.23
2025-04-07 00:05:36.347491,63.2,63.24
2025-04-07 00:05:37.915152,63.19,63.23
2025-04-07 00:05:38.863417,63.2,63.24
2025-04-07 00:05:45.790469,63.21,63.25
2025-04-07 00:05:46.172245,63.24,63.28
2025-04-07 00:05:46.895342,63.25,63.29
2025-04-07 00:05:47.679345,63.24,63.28
2025-04-07 00:05:54.238012,63.25,63.29
2025-04-07 00:05:55.330250,63.24,63.28
2025-04-07 00:05:57.245171,63.23,63.27
2025-04-07 00:05:57.442711,63.22,63.26
2025-04-07 00:06:00.411227,63.21,63.25
2025-04-07 00:06:04.522427,63.22,63.26
2025-04-07 00:06:05.039292,63.31,63.35
2025-04-07 00:06:05.611734,63.3,63.34
2025-04-07 00:06:06.137117,63.31,63.35
2025-04-07 00:06:06.571327,63.32,63.36
2025-04-07 00:06:06.922655,63.31,63.35
2025-04-07 00:06:09.878599,63.3,63.34
2025-04-07 00:06:10.989246,63.28,63.32
2025-04-07 00:06:12.791421,63.27,63.31
2025-04-07 00:06:13.122044,63.28,63.32
2025-04-07 00:06:14.140520,63.27,63.31
2025-04-07 00:06:15.132227,63.26,63.3
2025-04-07 00:06:15.639679,63.24,63.28
2025-04-07 00:06:16.425899,63.23,63.27
2025-04-07 00:06:21.136023,63.22,63.26
2025-04-07 00:06:22.369388,63.23,63.27
2025-04-07 00:06:23.560489,63.22,63.26
2025-04-07 00:06:25.614891,63.23,63.27
2025-04-07 00:06:27.472022,63.24,63.28
2025-04-07 00:06:34.148858,63.22,63.26
2025-04-07 00:06:35.963026,63.2,63.24
2025-04-07 00:06:36.676364,63.22,63.26
2025-04-07 00:06:42.939379,63.21,63.25
2025-04-07 00:06:44.775192,63.2,63.24
2025-04-07 00:06:48.328157,63.19,63.23
2025-04-07 00:06:49.326154,63.18,63.22
2025-04-07 00:06:50.033157,63.17,63.21
2025-04-07 00:06:54.129569,63.18,63.22
2025-04-07 00:06:55.595718,63.19,63.23
2025-04-07 00:07:00.408893,63.23,63.27
2025-04-07 00:07:01.320045,63.22,63.26
2025-04-07 00:07:03.751011,63.21,63.25
2025-04-07 00:07:06.821372,63.22,63.26
2025-04-07 00:07:07.106669,63.24,63.28
2025-04-07 00:07:08.737382,63.23,63.27
2025-04-07 00:07:20.106947,63.24,63.28
2025-04-07 00:07:20.901217,63.23,63.27
2025-04-07 00:07:30.681592,63.22,63.26
2025-04-07 00:07:35.335818,63.21,63.25
2025-04-07 00:07:36.418417,63.22,63.26
2025-04-07 00:07:39.351320,63.23,63.27
2025-04-07 00:07:40.352576,63.22,63.26
2025-04-07 00:07:44.423930,63.23,63.27
2025-04-07 00:07:47.901601,63.25,63.29
2025-04-07 00:07:51.379420,63.24,63.28
2025-04-07 00:08:07.561260,63.23,63.27
2025-04-07 00:08:09.660803,63.22,63.26
2025-04-07 00:08:11.257609,63.21,63.25
2025-04-07 00:08:13.176962,63.2,63.24
2025-04-07 00:08:13.916312,63.19,63.23
2025-04-07 00:08:16.538759,63.18,63.22
2025-04-07 00:08:20.050114,63.19,63.23
2025-04-07 00:08:21.037214,63.18,63.22
2025-04-07 00:08:21.872124,63.19,63.23
2025-04-07 00:08:22.807044,63.18,63.22
2025-04-07 00:08:35.728765,63.17,63.21
2025-04-07 00:08:36.223602,63.16,63.2
2025-04-07 00:08:37.217261,63.15,63.19
2025-04-07 00:08:40.590567,63.14,63.18
2025-04-07 00:08:44.980639,63.15,63.19
2025-04-07 00:08:48.770294,63.13,63.17
2025-04-07 00:08:49.941755,63.14,63.18
2025-04-07 00:08:53.618834,63.15,63.19
2025-04-07 00:08:55.215998,63.14,63.18
2025-04-07 00:09:01.297976,63.13,63.17
2025-04-07 00:09:03.221418,63.14,63.18
2025-04-07 00:09:04.779440,63.15,63.19
2025-04-07 00:09:05.999994,63.14,63.18
2025-04-07 00:09:07.310012,63.15,63.19
2025-04-07 00:09:07.807950,63.14,63.18
2025-04-07 00:09:08.228596,63.15,63.19
2025-04-07 00:09:13.320373,63.16,63.2
2025-04-07 00:09:13.910398,63.15,63.19
2025-04-07 00:09:14.547223,63.16,63.2
2025-04-07 00:09:21.084950,63.15,63.19
2025-04-07 00:09:21.588862,63.14,63.18
2025-04-07 00:09:23.173117,63.15,63.19
2025-04-07 00:09:23.851336,63.16,63.2
2025-04-07 00:09:28.257681,63.15,63.19
2025-04-07 00:09:31.555964,63.14,63.18
2025-04-07 00:09:37.459736,63.13,63.17
2025-04-07 00:09:37.873311,63.12,63.16
2025-04-07 00:09:40.130785,63.13,63.17
2025-04-07 00:09:41.684584,63.14,63.18
2025-04-07 00:09:44.970677,63.16,63.2
2025-04-07 00:09:48.521731,63.15,63.19
2025-04-07 00:09:49.338462,63.16,63.2
2025-04-07 00:09:49.876232,63.15,63.19
2025-04-07 00:09:52.022202,63.16,63.2
2025-04-07 00:09:55.040991,63.15,63.19
2025-04-07 00:09:59.594807,63.14,63.18
